neg_event,event
PersonX does not hike with friends,PersonX hikes with friends
PersonX does not get to know PersonY better,PersonX gets to know PersonY better
PersonX does not give PersonY a picture,PersonX gives PersonY a picture
PersonX does not call everyone,PersonX calls everyone
PersonX does not move PersonY's things,PersonX moves PersonY's things
PersonX does not hurt PersonY's feelings,PersonX hurts PersonY's feelings
PersonX does not give PersonY a puppy,PersonX gives PersonY a puppy
PersonX does not open PersonX's gift,PersonX opens PersonX's gift
PersonX does not give PersonY flowers,PersonX gives PersonY flowers
PersonX does not give PersonY a break,PersonX gives PersonY a break
PersonX does not pat PersonY on the back,PersonX pats PersonY on the back
PersonX does not go to a party with PersonX's friends,PersonX goes to a party with PersonX's friends
PersonX does not pay PersonY respects,PersonX pays PersonY respects
PersonX does not go to the beach with PersonX's family,PersonX goes to the beach with PersonX's family
PersonX does not have dinner together,PersonX has dinner together
PersonX is not sitting at PersonY's desk,PersonX is sitting at PersonY's desk
PersonX does not have dinner with PersonY,PersonX has dinner with PersonY
PersonX does not perform PersonY's work,PersonX performs PersonY's work
PersonX did not grab PersonY's bag,PersonX grabs PersonY's bag
PersonX does not hold PersonY close,PersonX holds PersonY close
PersonX is not very kind to PersonY,PersonX is very kind to PersonY
PersonX does not play basketball with PersonX's friends after school,PersonX plays basketball with PersonX's friends after school
PersonX does not live with PersonY's sister,PersonX lives with PersonY's sister
PersonX does not play catch with PersonX's dad,PersonX plays catch with PersonX's dad
PersonX does not invite PersonY to PersonX's house,PersonX invites PersonY to PersonX's house
PersonX does not issue PersonY edict,PersonX issues PersonY edict
PersonX does not make PersonY's sandwich,PersonX makes PersonY's sandwich
PersonX does not play musical chairs,PersonX plays musical chairs
PersonX does not invite all PersonX's friends over,PersonX invites all PersonX's friends over
PersonX does not keep PersonY back,PersonX keeps PersonY back
PersonX does not invite everyone,PersonX invites everyone
PersonX does not play tennis with PersonX's friend,PersonX plays tennis with PersonX's friend
PersonX is not at the store with PersonY's mom,PersonX is at the store with PersonY's mom
PersonX does not take PersonY to the beach,PersonX takes PersonY to the beach
PersonX does not relieve PersonY,PersonX relieves PersonY
PersonX is not dating PersonY,PersonX is dating PersonY
PersonX does not kiss PersonY goodbye,PersonX kisses PersonY goodbye
PersonX does not watch a movie together,PersonX watches a movie together
PersonX does not kiss PersonY on the lips,PersonX kisses PersonY on the lips
PersonX does not show PersonY's appreciation,PersonX shows PersonY's appreciation
PersonX does not kiss PersonY's forehead,PersonX kisses PersonY's forehead
PersonX does not camp with friends,PersonX camps with friends
PersonX does not know everyone,PersonX knows everyone
PersonX does not go hunting with PersonY,PersonX goes hunting with PersonY
PersonX does not tickle PersonY,PersonX tickles PersonY
PersonX does not knock PersonY down,PersonX knocks PersonY down
PersonX does not lavish upon PersonY,PersonX lavishes upon PersonY
PersonX does not go over to PersonY's house,PersonX goes over to PersonY's house
PersonX does not choose PersonY,PersonX chooses PersonY
PersonX does not take good care of PersonY,PersonX takes good care of PersonY
PersonX does not knock on PersonY's door,PersonX knocks on PersonY's door
PersonX is not cleaning out PersonY's garage,PersonX is cleaning out PersonY's garage
PersonX does not score a touchdown,PersonX scores a touchdown
PersonX does not lay PersonY down,PersonX lays PersonY down
PersonX does not clap for PersonY,PersonX claps for PersonY
PersonX does not lend PersonY the money,PersonX lends PersonY the money
PersonX does not lay down beside PersonY,PersonX lays down beside PersonY
PersonX does not pay PersonY fee,PersonX pays PersonY fee
PersonX does not wake PersonY up,PersonX wakes PersonY up
PersonX does not let PersonY,PersonX lets PersonY
PersonX does not star PersonY in the face,PersonX stares PersonY in the face
PersonX does not come help PersonY,PersonX comes help PersonY
PersonX does not ring PersonY,PersonX rings PersonY
PersonX does not let PersonY win,PersonX lets PersonY win
PersonX does not come home with PersonY,PersonX comes home with PersonY
PersonX does not ask PersonX's crush,PersonX asks PersonX's crush
PersonX does not let PersonY's stay,PersonX lets PersonY's stay
PersonX does not like PersonY back,PersonX likes PersonY back
PersonX does not come to visit PersonY,PersonX comes to visit PersonY
PersonX does not bring PersonX's family,PersonX brings PersonX's family
PersonX does not support PersonY,PersonX supports PersonY
PersonX does not run to PersonY,PersonX runs to PersonY
PersonX does not comfort PersonY,PersonX comforts PersonY
PersonX does not like PersonY more,PersonX likes PersonY more
PersonX does not give PersonY a hard time,PersonX gives PersonY a hard time
PersonX does not run PersonY ragged,PersonX runs PersonY ragged
PersonX does not go fishing with PersonY's dad,PersonX goes fishing with PersonY's dad
PersonX does not make people laugh,PersonX makes people laugh
PersonX does not listen to PersonY's mother,PersonX listens to PersonY's mother
PersonX does not tell PersonY story,PersonX tells PersonY story
PersonX does not spend the rest of my life with PersonY,PersonX spends the rest of my life with PersonY
PersonX does not go to PersonY's home,PersonX goes to PersonY's home
PersonX does not cut my hair,PersonX cuts my hair
PersonX does not open all of PersonY's presents,PersonX opens all of PersonY's presents
PersonX does not listen to PersonY's music,PersonX listens to PersonY's music
PersonX does not take PersonY's seat,PersonX takes PersonY's seat
PersonX does not see PersonY son,PersonX sees PersonY son
PersonX does not go to the zoo with PersonX's family,PersonX goes to the zoo with PersonX's family
PersonX does not sleep next to PersonY,PersonX sleeps next to PersonY
PersonX does not lock PersonY's keys in PersonY's car,PersonX locks PersonY's keys in PersonY's car
PersonX does not defend PersonY's position,PersonX defends PersonY's position
PersonX does not take another wife,PersonX takes another wife
PersonX does not sit down with PersonY,PersonX sits down with PersonY
PersonX does not paint PersonY,PersonX paints PersonY
PersonX does not do PersonY's chores,PersonX does PersonY's chores
PersonX does not invite PersonX's boyfriend,PersonX invites PersonX's boyfriend
PersonX does not look in PersonY's closet,PersonX looks in PersonY's closet
PersonX does not see PersonY reason,PersonX sees PersonY reason
PersonX does not do what PersonY loves,PersonX does what PersonY loves
PersonX does not paint PersonY's bedroom walls,PersonX paints PersonY's bedroom walls
PersonX does not look pretty,PersonX looks pretty
PersonX does not kill PersonY's husband,PersonX kills PersonY's husband
PersonX does not walk over to PersonY,PersonX walks over to PersonY
PersonX does not steal PersonY's bike,PersonX steals PersonY's bike
PersonX does not love PersonY back,PersonX loves PersonY back
PersonX does not pick on PersonY,PersonX picks on PersonY
PersonX does not drop PersonY's laptop,PersonX drops PersonY's laptop
PersonX does not meet PersonY's mom,PersonX meets PersonY's mom
PersonX does not throw it at PersonY,PersonX throws it at PersonY
PersonX does not write a letter to PersonY,PersonX writes a letter to PersonY
PersonX does not plant a tree in PersonY's backyard,PersonX plants a tree in PersonY's backyard
PersonX does not eat PersonY breakfast,PersonX eats PersonY breakfast
PersonX does not make a funny noise,PersonX makes a funny noise
PersonX does not take PersonY to the library,PersonX takes PersonY to the library
PersonX does not talk to a friend,PersonX talks to a friend
PersonX does not take a pregnancy test,PersonX takes a pregnancy test
PersonX does not eat PersonY's plants,PersonX eats PersonY's plants
PersonX does not play games with PersonX's friends,PersonX plays games with PersonX's friends
PersonX does not approach PersonY's crush,PersonX approaches PersonY's crush
PersonX does not make a long story short,PersonX makes a long story short
PersonX does not tell PersonX's boyfriend,PersonX tells PersonX's boyfriend
PersonX does not risk PersonY's life,PersonX risks PersonY's life
PersonX does not change PersonY's attitude,PersonX changes PersonY's attitude
PersonX does not eat with PersonY's friends,PersonX eats with PersonY's friends
PersonX does not propose to PersonY,PersonX proposes to PersonY
PersonX does not take PersonY to a shelter,PersonX takes PersonY to a shelter
PersonX does not make love to PersonY,PersonX makes love to PersonY
PersonX does not try to make out with PersonY,PersonX tries to make out with PersonY
PersonX does not educate PersonX's children,PersonX educates PersonX's children
PersonX does not talk to PersonY for a bit,PersonX talks to PersonY for a bit
PersonX does not punch PersonY's lights out,PersonX punches PersonY's lights out
PersonX does not enroll PersonY,PersonX enrolls PersonY
PersonX does not go to the beach with PersonY's family,PersonX goes to the beach with PersonY's family
PersonX does not send PersonY money,PersonX sends PersonY money
PersonX does not step away from PersonY,PersonX steps away from PersonY
PersonX does not start dating PersonY,PersonX starts dating PersonY
PersonX does not make room for PersonY,PersonX makes room for PersonY
PersonX does not file for bankruptcy,PersonX files for bankruptcy
PersonX does not play video games with PersonY's friends,PersonX plays video games with PersonY's friends
PersonX does not rev PersonY's engine,PersonX revs PersonY's engine
PersonX does not take turns,PersonX takes turns
PersonX does not take PersonY breath away,PersonX takes PersonY breath away
PersonX does not take PersonY's glasses,PersonX takes PersonY's glasses
PersonX did not finally find the perfect one,PersonX finally found the perfect one
PersonX does not spend time with PersonY,PersonX spends time with PersonY
PersonX does not make small talk,PersonX makes small talk
PersonX does not get PersonY's new car,PersonX gets PersonY's new car
PersonX does not want to help PersonY,PersonX wants to help PersonY
PersonX does not trip PersonY,PersonX trips PersonY
PersonX does not spend the evening with PersonY,PersonX spends the evening with PersonY
PersonX does not volunteer at the soup kitchen,PersonX volunteers at the soup kitchen
PersonX does not trap PersonY,PersonX traps PersonY
PersonX does not give PersonY utterance,PersonX gives PersonY utterance
PersonX does not smack PersonY,PersonX smacks PersonY
PersonX does not marry PersonY man,PersonX marries PersonY man
PersonX does not get a date,PersonX gets a date
PersonX does not have a surprise for PersonY,PersonX has a surprise for PersonY
PersonX does not use PersonY's thumb,PersonX uses PersonY's thumb
PersonX does not meet PersonY for the first time,PersonX meets PersonY for the first time
PersonX does not support PersonY's efforts,PersonX supports PersonY's efforts
PersonX does not show PersonY around,PersonX shows PersonY around
PersonX is not playing a game of basketball,PersonX is playing a game of basketball
PersonX does not tackle PersonY,PersonX tackles PersonY
PersonX does not get a ride,PersonX gets a ride
PersonX does not kiss PersonY,PersonX kisses PersonY
PersonX does not meet PersonY's boyfriend,PersonX meets PersonY's boyfriend
PersonX does not smile upon PersonY,PersonX smiles upon PersonY
PersonX does not train the new employee,PersonX trains the new employee
PersonX does not seat beside PersonY,PersonX seats beside PersonY
PersonX does not make PersonY PersonX's wife,PersonX makes PersonY PersonX's wife
PersonX does not tuck PersonY in,PersonX tucks PersonY in
PersonX does not offer PersonY a job,PersonX offers PersonY a job
PersonX does not start flirting with PersonY,PersonX starts flirting with PersonY
PersonX does not will help,PersonX wills help
PersonX does not wave PersonY,PersonX waves PersonY
PersonX does not give PersonY education,PersonX gives PersonY education
PersonX does not share PersonY's feelings,PersonX shares PersonY's feelings
PersonX does not open PersonY's arms,PersonX opens PersonY's arms
PersonX does not talk to PersonX's husband,PersonX talks to PersonX's husband
PersonX does not offer a new job,PersonX offers a new job
PersonX does not give PersonY this opportunity,PersonX gives PersonY this opportunity
PersonX does not persuade PersonY to return,PersonX persuades PersonY to return
PersonX does not see PersonY family,PersonX sees PersonY family
PersonX does not open PersonX's presents,PersonX opens PersonX's presents
PersonX does not see PersonX's son,PersonX sees PersonX's son
PersonX does not go fishing together,PersonX goes fishing together
PersonX does not open PersonY's own store,PersonX opens PersonY's own store
PersonX does not sit by PersonY's side,PersonX sits by PersonY's side
PersonX does not take PersonY to work,PersonX takes PersonY to work
PersonX does not take PersonY to the movies,PersonX takes PersonY to the movies
PersonX does not open all PersonY's presents,PersonX opens all PersonY's presents
PersonX does not try to bite PersonY,PersonX tries to bite PersonY
PersonX does not pay PersonY's bills,PersonX pays PersonY's bills
PersonX does not win the game,PersonX wins the game
PersonX does not go home with PersonY,PersonX goes home with PersonY
PersonX does not take PersonY's photo,PersonX takes PersonY's photo
PersonX does not star into PersonY's eyes,PersonX stars into PersonY's eyes
PersonX does not pay PersonY's electric bill,PersonX pays PersonY's electric bill
PersonX does not go next door,PersonX goes next door
PersonX does not see PersonY's best friend,PersonX sees PersonY's best friend
PersonX does not serve PersonY right,PersonX serves PersonY right
PersonX does not score a goal,PersonX scores a goal
PersonX does not pay all of PersonY's bills,PersonX pays all of PersonY's bills
PersonX does not go play,PersonX goes play
PersonX does not write PersonY's letter,PersonX writes PersonY's letter
PersonX does not take PersonY's turn,PersonX takes PersonY's turn
PersonX does not support PersonY's family,PersonX supports PersonY's family
PersonX does not go to PersonX's friend's house,PersonX goes to PersonX's friend's house
PersonX does not perform well,PersonX performs well
PersonX does not wash PersonY face,PersonX washes PersonY face
PersonX does not sell PersonY's land,PersonX sells PersonY's land
PersonX does not ask PersonY out on a date,PersonX asks PersonY out on a date
PersonX does not take PersonY's purse,PersonX takes PersonY's purse
PersonX does not have fun with PersonY's friends,PersonX has fun with PersonY's friends
PersonX does not surprise PersonX's boyfriend,PersonX surprises PersonX's boyfriend
PersonX does not call PersonY's grandparents,PersonX calls PersonY's grandparents
PersonX does not hear back from PersonY,PersonX hears back from PersonY
PersonX does not visit PersonY's grandfather,PersonX visits PersonY's grandfather
PersonX does not hit PersonY in the face,PersonX hits PersonY in the face
PersonX does not give PersonY medicine,PersonX gives PersonY medicine
PersonX does not play chess with PersonY,PersonX plays chess with PersonY
PersonX does not tell PersonX's kids,PersonX tells PersonX's kids
PersonX does not inspect PersonY,PersonX inspects PersonY
PersonX does not want to meet PersonY,PersonX wants to meet PersonY
PersonX does not take PersonY to a bar,PersonX takes PersonY to a bar
PersonX does not go to the zoo with PersonY's family,PersonX goes to the zoo with PersonY's family
PersonX does not scream at PersonY,PersonX screams at PersonY
PersonX does not instruct PersonY,PersonX instructs PersonY
PersonX does not send PersonY to the principal's office,PersonX sends PersonY to the principal's office
PersonX does not shake PersonY's hands,PersonX shakes PersonY's hands
PersonX does not play hide and seek,PersonX plays hide and seek
PersonX does not ruin PersonY's day,PersonX ruins PersonY's day
PersonX does not invite PersonX's friend over,PersonX invites PersonX's friend over
PersonX does not invite PersonY to visit,PersonX invites PersonY to visit
PersonX does not take PersonY's kids,PersonX takes PersonY's kids
PersonX does not play pool,PersonX plays pool
PersonX does not set PersonY up on a date,PersonX sets PersonY up on a date
PersonX does not invite PersonY's boyfriend over,PersonX invites PersonY's boyfriend over
PersonX does not say things to PersonY,PersonX says things to PersonY
PersonX is not at the beach with friends,PersonX is at the beach with friends
PersonX does not use PersonY's laptop,PersonX uses PersonY's laptop
PersonX does not afford PersonY opportunity,PersonX affords PersonY opportunity
PersonX does not play video games with PersonX's friends,PersonX plays video games with PersonX's friends
PersonX does not send PersonX's children to school,PersonX sends PersonX's children to school
PersonX does not invite some friends,PersonX invites some friends
PersonX does not ask PersonX's manager,PersonX asks PersonX's manager
PersonX does not rid PersonY's bike home from school,PersonX rids PersonY's bike home from school
PersonX does not win PersonY award,PersonX wins PersonY award
PersonX is not at PersonX's grandma's house,PersonX is at PersonX's grandma's house
PersonX does not kiss PersonY's lips,PersonX kisses PersonY's lips
PersonX does not ask PersonY about it,PersonX asks PersonY about it
PersonX does not write PersonY answer,PersonX writes PersonY answer
PersonX is not at the mall with PersonY's friends,PersonX is at the mall with PersonY's friends
PersonX does not make a fool of PersonY,PersonX makes a fool of PersonY
PersonX is not bothering PersonY,PersonX is bothering PersonY
PersonX does not return to PersonY's home,PersonX returns to PersonY's home
PersonX does not ask PersonY to meet,PersonX asks PersonY to meet
PersonX is not going on a date,PersonX is going on a date
PersonX does not press PersonY's lips,PersonX presses PersonY's lips
PersonX does not meet PersonY halfway,PersonX meets PersonY halfway
PersonX does not ask PersonY to take,PersonX asks PersonY to take
PersonX is not on the track team,PersonX is on the track team
PersonX does not talk to PersonX's brother,PersonX talks to PersonX's brother
PersonX does not protest PersonY's innocence,PersonX protests PersonY's innocence
PersonX does not meet PersonY there,PersonX meets PersonY there
PersonX is not playing basketball,PersonX is playing basketball
PersonX does not ask PersonY to the prom,PersonX asks PersonY to the prom
PersonX does not sleep in PersonY's bed,PersonX sleeps in PersonY's bed
PersonX does not provide PersonY with food,PersonX provides PersonY with food
PersonX does not overwhelm PersonY,PersonX overwhelms PersonY
PersonX does not ask the students,PersonX asks the students
PersonX is not taking care of PersonY,PersonX is taking care of PersonY
PersonX does not take PersonY's boat,PersonX takes PersonY's boat
PersonX does not play baseball with PersonY's friends,PersonX plays baseball with PersonY's friends
PersonX does not race PersonX's friend,PersonX races PersonX's friend
PersonX does not join PersonY's party,PersonX joins PersonY's party
PersonX does not sing to PersonY,PersonX sings to PersonY
PersonX does not ask the worker,PersonX asks the worker
PersonX does not quit PersonX's day job,PersonX quits PersonX's day job
PersonX does not renew PersonX's vows,PersonX renews PersonX's vows
PersonX does not write PersonY essay,PersonX writes PersonY essay
PersonX does not keep up with PersonY,PersonX keeps up with PersonY
PersonX does not break both of PersonY's legs,PersonX breaks both of PersonY's legs
PersonX does not rest upon PersonY,PersonX rests upon PersonY
PersonX does not accept PersonY,PersonX accepts PersonY
PersonX does not reprimand PersonY,PersonX reprimands PersonY
PersonX does not breathe down PersonY's neck,PersonX breathes down PersonY's neck
PersonX does not swim with PersonY's friends,PersonX swims with PersonY's friends
PersonX does not land on PersonY,PersonX lands on PersonY
PersonX does not ask PersonY what the problem was,PersonX asks PersonY what the problem was
PersonX does not see PersonY's doctor,PersonX sees PersonY's doctor
PersonX does not succeed PersonY's father,PersonX succeeds PersonY's father
PersonX does not bridge the gap between PersonY and PersonY,PersonX bridges the gap between PersonY and PersonY
PersonX does not send text messages,PersonX sends text messages
PersonX does not sign PersonY up,PersonX signs PersonY up
PersonX does not bring PersonY news,PersonX brings PersonY news
PersonX does not send PersonY to summer camp,PersonX sends PersonY to summer camp
PersonX does not ask PersonY's wife,PersonX asks PersonY's wife
PersonX does not lead PersonY into the room,PersonX leads PersonY into the room
PersonX does not take care of PersonY's needs,PersonX takes care of PersonY's needs
PersonX does not use PersonY's hands,PersonX uses PersonY's hands
PersonX does not search PersonY's pantry,PersonX searches PersonY's pantry
PersonX does not throw PersonY a surprise party,PersonX throws PersonY a surprise party
PersonX does not beat PersonX's friend,PersonX beats PersonX's friend
PersonX does not take PersonY's dog for a walk,PersonX takes PersonY's dog for a walk
PersonX does not let PersonY stay,PersonX lets PersonY stay
PersonX does not supply PersonY's wants,PersonX supplies PersonY's wants
PersonX does not start a relationship,PersonX starts a relationship
PersonX does not beat PersonY's personal record,PersonX beats PersonY's personal record
PersonX does not see PersonY's parents,PersonX sees PersonY's parents
PersonX does not become PersonY's president,PersonX becomes PersonY's president
PersonX does not agree with PersonY,PersonX agrees with PersonY
PersonX does not teach PersonY's daughter,PersonX teaches PersonY's daughter
PersonX does not love PersonY's music,PersonX loves PersonY's music
PersonX does not texts PersonY today,PersonX texts PersonY today
PersonX does not bleach PersonY's hair,PersonX bleaches PersonY's hair
PersonX does not take PersonY far,PersonX takes PersonY far
PersonX does not allow PersonY access,PersonX allows PersonY access
PersonX does not make a lot of new friends,PersonX makes a lot of new friends
PersonX does not argue with PersonY,PersonX argues with PersonY
PersonX does not ask PersonY for a date,PersonX asks PersonY for a date
PersonX would not hire PersonY,PersonX would hire PersonY
PersonX does not break PersonY's glasses,PersonX breaks PersonY's glasses
PersonX does not make breakfast for PersonY's family,PersonX makes breakfast for PersonY's family
PersonX does not buy PersonY's lunch,PersonX buys PersonY's lunch
PersonX would not see PersonY,PersonX would see PersonY
PersonX does not bring PersonY's daughter,PersonX brings PersonY's daughter
PersonX does not buy a birthday cake,PersonX buys a birthday cake
PersonX does not ask PersonY to return,PersonX asks PersonY to return
PersonX does not marry PersonX's girlfriend,PersonX marries PersonX's girlfriend
PersonX does not walk up to PersonY,PersonX walks up to PersonY
PersonX does not marry PersonY,PersonX marries PersonY
PersonX does not ask PersonY's friend for advice,PersonX asks PersonY's friend for advice
PersonX does not bring gifts,PersonX brings gifts
PersonX does not rid PersonY's horse,PersonX rids PersonY's horse
PersonX does not cheat on PersonY,PersonX cheats on PersonY
PersonX does not call PersonY's dad for help,PersonX calls PersonY's dad for help
PersonX does not drive deep inside PersonY,PersonX drives deep inside PersonY
PersonX does not call PersonY's kids,PersonX calls PersonY's kids
PersonX does not ask PersonY's friends for advice,PersonX asks PersonY's friends for advice
PersonX does not bring the cake,PersonX brings the cake
PersonX does not marry another man,PersonX marries another man
PersonX does not rid the big roller coaster,PersonX rides the big roller coaster
PersonX does not ask the boy out,PersonX asks the boy out
PersonX does not meet a beautiful woman,PersonX meets a beautiful woman
PersonX does not call out PersonY's name,PersonX calls out PersonY's name
PersonX does not surprise PersonY's parents,PersonX surprises PersonY's parents
PersonX does not brush PersonY's hand,PersonX brushes PersonY's hand
PersonX does not end the relationship,PersonX ends the relationship
PersonX does not meet a girl named PersonY,PersonX meets a girl named PersonY
PersonX does not burst PersonY's bubble,PersonX bursts PersonY's bubble
PersonX does not change PersonY name,PersonX changes PersonY name
PersonX does not associate with PersonY increase,PersonX associates with PersonY increase
PersonX does not scold PersonY,PersonX scolds PersonY
PersonX does not attend a party,PersonX attends a party
PersonX does not meet a girl online,PersonX meets a girl online
PersonX does not cheer for PersonY,PersonX cheers for PersonY
PersonX does not step on PersonY's toes,PersonX steps on PersonY's toes
PersonX does not buy PersonY a pair,PersonX buys PersonY a pair
PersonX does not get PersonY a new one,PersonX gets PersonY a new one
PersonX does not buy PersonY new shoes,PersonX buys PersonY new shoes
PersonX does not get some friends together,PersonX gets some friends together
PersonX does not beat PersonY's friend,PersonX beats PersonY's friend
PersonX does not meet with PersonY,PersonX meets with PersonY
PersonX does not take PersonY down,PersonX takes PersonY down
PersonX does not hang around PersonY,PersonX hangs around PersonY
PersonX does not clean PersonY up,PersonX cleans PersonY up
PersonX does not message PersonY,PersonX messages PersonY
PersonX does not buy PersonY's flowers,PersonX buys PersonY's flowers
PersonX does not rub PersonY's temples,PersonX rubs PersonY's temples
PersonX does not become a father,PersonX becomes a father
PersonX does not help PersonY lose weight,PersonX helps PersonY lose weight
PersonX does not come live with PersonY,PersonX comes live with PersonY
PersonX does not tell PersonY that PersonY is being solipsist and insolent,PersonX tells PersonY that PersonY is being solipsist and insolent
PersonX does not buy a new car,PersonX buys a new car
PersonX does not move back to PersonY,PersonX moves back to PersonY
PersonX does not visit PersonX's grandfather,PersonX visits PersonX's grandfather
PersonX does not hurt PersonY's back,PersonX hurts PersonY's back
PersonX does not comply with PersonY request,PersonX complies with PersonY request
PersonX does not become president,PersonX becomes president
PersonX does not call PersonX's father,PersonX calls PersonX's father
PersonX does not travel to canada,PersonX travels to canada
PersonX does not kneel beside PersonY,PersonX kneels beside PersonY
PersonX does not condemn PersonY to death,PersonX condemns PersonY to death
PersonX does not offer PersonY explanation,PersonX offering PersonY explanation
PersonX does not take PersonY's kite,PersonX takes PersonY's kite
PersonX does not call PersonY's mom,PersonX calls PersonY's mom
PersonX does not open presents,PersonX opens presents
PersonX does not retrace PersonY's steps,PersonX retraces PersonY's steps
PersonX does not knock PersonY to the ground,PersonX knocks PersonY to the ground
PersonX does not call PersonY's boyfriend,PersonX calls PersonY's boyfriend
PersonX does not cut PersonY's nails,PersonX cuts PersonY's nails
PersonX does not spend all of PersonY's money,PersonX spends all of PersonY's money
PersonX does not bid PersonY farewell,PersonX bids PersonY farewell
PersonX does not lay beside PersonY,PersonX lays beside PersonY
PersonX does not celebrate PersonY's birthday,PersonX celebrates PersonY's birthday
PersonX does not paint PersonY's portrait,PersonX paints PersonY's portrait
PersonX does not celebrate halloween,PersonX celebrates halloween
PersonX does not tell PersonY not to come,PersonX tells PersonY not to come
PersonX does not cut the ribbon,PersonX cuts the ribbon
PersonX does not brag to all PersonX's friends,PersonX brags to all PersonX's friends
PersonX does not pat PersonY's back,PersonX pats PersonY's back
PersonX does not talk to PersonX's mother,PersonX talks to PersonX's mother
PersonX does not meet new people,PersonX meets new people
PersonX does not change PersonY's ways,PersonX changes PersonY's ways
PersonX does not dance with PersonY's friends,PersonX dances with PersonY's friends
PersonX does not tell PersonY later,PersonX tells PersonY later
PersonX does not break PersonY's mother's favorite vase,PersonX breaks PersonY's mother's favorite vase
PersonX does not mow PersonY's grass,PersonX mows PersonY's grass
PersonX does not cover PersonY's expenses,PersonX covers PersonY's expenses
PersonX does not develop PersonY interest,PersonX develops PersonY interest
PersonX does not play video games together,PersonX plays video games together
PersonX does not offer PersonY the job,PersonX offers PersonY the job
PersonX does not take a photo of PersonY,PersonX takes a photo of PersonY
PersonX does not crash PersonY's bike,PersonX crashes PersonY's bike
PersonX does not play with PersonY,PersonX plays with PersonY
PersonX does not pour PersonY a glass,PersonX pours PersonY a glass
PersonX does not dress PersonY,PersonX dresses PersonY
PersonX does not cut PersonY's hair,PersonX cuts PersonY's hair
PersonX does not steal from PersonY,PersonX steals from PersonY
PersonX does not bring PersonY's dog,PersonX brings PersonY's dog
PersonX does not point a gun at PersonY,PersonX points a gun at PersonY
PersonX does not refund PersonY,PersonX refunds PersonY
PersonX does not decide to run for president,PersonX decides to run for president
PersonX does not present it to PersonY,PersonX presents it to PersonY
PersonX does not drive PersonY,PersonX drives PersonY
PersonX does not build PersonY's house,PersonX builds PersonY's house
PersonX does not do something special for PersonY,PersonX does something special for PersonY
PersonX does not take PersonY to get,PersonX takes PersonY to get
PersonX does not press PersonY's lips together,PersonX presses PersonY's lips together
PersonX does not buy PersonY's phone,PersonX buys PersonY's phone
PersonX does not drive PersonY away,PersonX drives PersonY away
PersonX does not eat my lunch,PersonX eats my lunch
PersonX does not buy gifts,PersonX buys gifts
PersonX does not push PersonY out,PersonX pushes PersonY out
PersonX does not snuggle PersonY,PersonX snuggles PersonY
PersonX does not drop PersonY a line,PersonX drops PersonY a line
PersonX does not fight for PersonY's lives,PersonX fights for PersonY's lives
PersonX does not call PersonX's grandparents,PersonX calls PersonX's grandparents
PersonX does not raise PersonY's kids,PersonX raises PersonY's kids
PersonX does not visit PersonX's friends,PersonX visits PersonX's friends
PersonX does not get PersonY's car back,PersonX gets PersonY's car back
PersonX does not read PersonY's works,PersonX reads PersonY's works
PersonX does not upset PersonY,PersonX upsets PersonY
PersonX does not surprise PersonY's husband,PersonX surprises PersonY's husband
PersonX does not find PersonY's cat,PersonX finds PersonY's cat
PersonX does not get PersonY's parents,PersonX gets PersonY's parents
