event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not speak to PersonY,"[""none"", ""none""]","[""none"", ""confused"", ""ignored"", ""offended"", ""annoyed"", ""ostracized"", ""ignored""]","[""none"", ""to apologize"", ""get personx back"", ""to be friendly"", ""to be heard"", ""to avoid PersonX"", ""to talk to someone else""]","[""angry"", ""inattentive"", ""rude"", ""mad"", ""insensitive"", ""careless"", ""unsociable"", ""upset"", ""angry""]","[""leaves y"", ""calls y later"", ""none"", ""none""]","[""none"", ""to be rude"", ""to make a point"", ""to avoid PersonY"", ""angry at PersonY"", ""to not trust PersonY""]","[""none"", ""none"", ""to know PersonY"", ""to be in the same place as PersonY"", ""to be angry with PersonY""]","[""sad"", ""annoyed"", ""unphased"", ""stubborn"", ""pleased"", ""content"", ""untrusting"", ""cautious"", ""leery""]","[""to be alone"", ""to allow the person"", ""to get over them"", ""to be without others"", ""to shun them"", ""to unfriend them"", ""to avoid PersonY"", ""to talk to someone else""]",trn,PersonX speaks to PersonY
PersonX does not hire a trainer,"[""loses work"", ""misses out on job"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""independent"", ""unwilling"", ""tight-fisted"", ""self-disciplined"", ""self-sufficient"", ""lazy"", ""capable"", ""competent""]","[""gains weight"", ""stops exercising"", ""don't excel"", ""don't get in shape"", ""Doesn't work out efficiently"", ""Doesn't attain fitness goals"", ""none""]","[""none"", ""to save money"", ""to figure things out on their own"", ""be their own trainer""]","[""none"", ""none""]","[""happy"", ""accomplished"", ""mean"", ""rude"", ""capable"", ""thrifty"", ""regretful"", ""wishes they had a trainer""]","[""to train on the cheap"", ""to train on their own"", ""to be lazy"", ""to workout by themselves"", ""to work out with other people"", ""to work out alone"", ""to save money"", ""to be slothful""]",trn,PersonX hires a trainer
PersonX does not pay PersonY's back,"[""They have to ask personX about the owed money"", ""They have to borrow money from family and friends"", ""looks for PersonX"", ""frowns"", ""none""]","[""like they have been decieved"", ""stressed over non payment"", ""upset"", ""hurt"", ""dismissed"", ""upset"", ""disappointed"", ""disrespected""]","[""none"", ""to get money back from PersonX"", ""find PersonX"", ""to get their cash"", ""to unfriend personX""]","[""dead beat"", ""welching"", ""thoughtless"", ""greedy"", ""selfish"", ""untrustworthy"", ""careless"", ""selfish"", ""disloyal""]","[""They accumulate debt"", ""They have to avoid personY"", ""avoids PersonY"", ""looks behind back"", ""gets attacked"", ""gets robbed"", ""none""]","[""to save their money"", ""to pay when they have enough"", ""to spend the money on something else"", ""to shun PersonY"", ""to teach person Y a lesson"", ""to take revenge"", ""have more imortant things to do with their money"", ""forgot about it""]","[""none"", ""to borrow money from PersonY"", ""to know PersonY"", ""to borrow money"", ""to spend recklessly""]","[""ashamed"", ""like a bad friend"", ""guilty"", ""blameworthy"", ""justified"", ""vindictive"", ""greedy"", ""self centered""]","[""to be called upon"", ""to be followed"", ""feel alone"", ""to earn more money"", ""to get money"", ""to pay PersonY"", ""to pay personY back"", ""to find more money""]",trn,PersonX pays PersonY's back
PersonX does not have the time of PersonY's life,"[""none"", ""cries"", ""yells"", ""none""]","[""calm"", ""relaxed"", ""unworried"", ""none"", ""none""]","[""none"", ""none"", ""more adventure"", ""to find someone else""]","[""hopeful"", ""saddened"", ""bored"", ""without fun"", ""selfish"", ""boring"", ""aloof"", ""reserved""]","[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""bad"", ""worried"", ""sad"", ""disappointment"", ""bored out of their mind"", ""ready to leave"", ""disappointed"", ""sad""]","[""to study"", ""to work"", ""to free the time"", ""to spend with them"", ""to have personal time"", ""to rest"", ""to make things up to PersonY"", ""more excitement""]",trn,PersonX has the time of PersonY's life
PersonX does not get PersonY's money,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""to be repaid"", ""PersonX to find their money"", ""to run from personx"", ""to avoid personx"", ""none""]","[""cheap"", ""indifferent"", ""covetous"", ""hedonistic"", ""humane"", ""reasonable"", ""incapable"", ""respectful""]","[""none"", ""has same amount of money"", ""finds way to get more money"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""mean"", ""selfish"", ""unhappy"", ""unsatisfied"", ""upset at persony"", ""confused why he did not get money"", ""resentful"", ""unlucky""]","[""get their own money"", ""be honest"", ""more time to get PersonY's money"", ""to not make PersonY angry"", ""to beat up persony"", ""to confront persony"", ""work hard"", ""earn large money""]",trn,PersonX gets PersonY's money
PersonX does not find PersonY's parents,"[""Not found"", ""Lonely"", ""none"", ""none""]","[""lost"", ""abandoned"", ""none"", ""worried"", ""concerned"", ""afraid""]","[""be found"", ""receive help finding their parents"", ""none"", ""to find their parents with PersonX"", ""to keep searching for their parents"", ""none""]","[""not looking"", ""not ready to find them"", ""lost"", ""depressed"", ""useless"", ""incapable"", ""blind"", ""inattentive"", ""incompetent""]","[""none"", ""none""]","[""none"", ""none""]","[""none"", ""Look for clues"", ""Try to find PersonY's parents"", ""Look at their last whereabouts"", ""to realize PersonY's parents are gone"", ""to look for PersonY's parents"", ""none""]","[""disconnected"", ""separated"", ""accomplished"", ""happy"", ""unhelpful"", ""disappointed"", ""lost"", ""disparing""]","[""look for the parents"", ""find the parents"", ""Continue to search"", ""Go back to the drawing board"", ""Give up"", ""to keep looking for PersonY's parents"", ""to find PersonY's parents"", ""to keep looking"", ""give up""]",trn,PersonX finds PersonY's parents
PersonX does not give PersonY names,"[""none"", ""none""]","[""frustrated"", ""annoyed"", ""denied access"", ""protected from investigation"", ""Grateful"", ""Proud"", ""vengeful"", ""angered""]","[""share the names they like"", ""pick a name"", ""none"", ""none"", ""to punish PersonX for not telling names"", ""to force PersonX to talk""]","[""impersonal"", ""uncaring"", ""secretive"", ""paranoid"", ""loyal"", ""confident"", ""reluctant"", ""withholding""]","[""none"", ""none""]","[""to keep the identities secret"", ""to maintain confidence"", ""to protect their sources"", ""to shield them from personY"", ""To keep safe"", ""To not rat people out"", ""to protect their information"", ""to be loyal""]","[""none"", ""talk with PersonY"", ""hear PersonY's question"", ""none""]","[""pressured"", ""secretive"", ""guarded"", ""Anxious"", ""Scared"", ""prideful"", ""strong""]","[""stay out of it"", ""let personY pick names on their own"", ""try to convince PersonY"", ""to ask sorry to personY"", ""protect the people's privacy"", ""avoid getting in trouble"", ""to be kept out of the ruckus"", ""to be loyal to their friends""]",trn,PersonX gives PersonY names
PersonX does not determine PersonY's customer base,"[""none"", ""none""]","[""none"", ""none"", ""nothing in particular"", ""normal""]","[""find someone to identify the customer base"", ""do it themselves"", ""none"", ""none""]","[""rude"", ""unhappy"", ""uninfluential"", ""subordinate"", ""unaware"", ""unknowledgeable"", ""unskilled"", ""not thoughtful""]","[""none"", ""none""]","[""none"", ""none""]","[""none"", ""to clean the room"", ""to repair the bike"", ""none"", ""access his customer base"", ""conclude that  other factors influence it""]","[""shy"", ""inconsiderate"", ""confused"", ""unknowing"", ""okay with that"", ""awesome"", ""nothing in particular"", ""normal""]","[""stay uninvolved"", ""do a different job"", ""to relax"", ""to sleep"", ""to determine their own base"", ""to work their way out"", ""Find out the core influence"", ""attempt to attract it""]",trn,PersonX determines PersonY's customer base
PersonX does not lay down PersonX's life,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""to thank person x"", ""to burn down the fighting arena"", ""none""]","[""logical"", ""stoic"", ""self-centered"", ""careful"", ""kind"", ""caring"", ""reserved"", ""scared""]","[""is labeled a coward"", ""is shunned by his family"", ""none"", ""none"", ""gets to live another day"", ""doesn't become a martyr""]","[""to be successful"", ""to achieve their goals"", ""none"", ""none""]","[""none"", ""be in a conflict with someone"", ""stand their ground"", ""none""]","[""happy"", ""excited"", ""caring"", ""concerned"", ""like minding his business"", ""alone"", ""bad"", ""sober""]","[""to be selfish"", ""to take care of themselves"", ""get away from the situation"", ""call for help"", ""to let someone else die"", ""call off the bloody event"", ""focus on the future life"", ""plan for future""]",trn,PersonX lays down PersonX's life
PersonX does not invite PersonY to a party,"[""none"", ""angry"", ""frustrated"", ""PersonY thinks PersonX is stupid"", ""PersonY goes to another party"", ""cries alone"", ""gets depressed""]","[""feel bad for him"", ""bothersome for him"", ""none"", ""none"", ""hurt"", ""rejected""]","[""receive an invitation"", ""receive an apology"", ""to cry in bed"", ""to confront personx"", ""cry"", ""ask why"", ""to cry"", ""to go as the friend of someone else""]","[""distant"", ""dismissive"", ""unkind"", ""exclusive"", ""bitter"", ""hurtful"", ""mean"", ""miserly""]","[""none"", ""goes by him/herself"", ""asks someone else"", ""goes alone"", ""none""]","[""doesn't like him"", ""less people at the party"", ""none"", ""none"", ""be exclusive"", ""have a small party""]","[""have a party"", ""make a guest list"", ""none"", ""none""]","[""left out"", ""disappointed"", ""mean"", ""selfish"", ""hate"", ""separated"", ""guilty"", ""unfriendly""]","[""offer an explanation"", ""avoid personY"", ""to reject persony"", ""to avoid persony"", ""invite someone else"", ""apologize to them""]",trn,PersonX invites PersonY to a party
PersonX warns PersonY not to go.,"[""gets carjacked"", ""gets dumped on the side of the road"", ""none""]","[""controlled"", ""frustrated"", ""none""]","[""none""]","[""hopeful"", ""angry"", ""protective"", ""caring""]","[""gets told it's fine"", ""gets waved off by personY"", ""none""]","[""to keep PersonY safe"", ""to control PersonY"", ""to be friendly"", ""to stay calm""]","[""none""]","[""protective"", ""worried"", ""kind hearted"", ""caring""]","[""to make sure they are ok"", ""not let personY get into trouble"", ""to stay at home"", ""to see movies""]",trn,PersonX urges PersonY to go
PersonX won't give anyone the time of the day,"[""none""]","[""none""]","[""none""]","[""cold-hearted"", ""aloof"", ""cold"", ""unfriendly""]","[""Criticized by parents"", ""Grounded for a week"", ""none""]","[""none"", ""to be left alone"", ""to follow their own words""]","[""none""]","[""mad"", ""annoyed"", ""bothered""]","[""to go early"", ""to arrange the meeting"", ""to be alone"", ""to reflect on their thoughts""]",trn,PersonX gives the time of day
PersonX cannot afford new clothes.,"[""none""]","[""none""]","[""none""]","[""poor"", ""poverty-stricken"", ""broke"", ""jobless""]","[""Given money by parents"", ""Taken to clothing store"", ""don't get the job""]","[""none""]","[""check their bank account balance"", ""check the prices of clothes that they want"", ""none""]","[""sad"", ""shabby"", ""stressed""]","[""go to a thrift store instead"", ""shop clearance racks and overstock"", ""make more money"", ""save for new clothes""]",trn,PersonX buys a new jacket
PersonX doesn't invite PersonY.,"[""none""]","[""none"", ""rejected"", ""ignored""]","[""none""]","[""mean"", ""hateful"", ""absentminded"", ""disrespectful"", ""unempathetic""]","[""Scolded by personY"", ""Kicked out of friend group"", ""none""]","[""none"", ""to invite someone else"", ""to stay away from person y""]","[""none""]","[""mean"", ""selfish"", ""selective"", ""controlling""]","[""to convince PersonY"", ""refuse to do help"", ""to surprise them"", ""to visit them""]",trn,PersonX invites PersonY back
PersonX doesn't listen to PersonY,"[""they speak louder"", ""they cough"", ""PersonY turns away"", ""PersonY yells at PersonX""]","[""none""]","[""to confront personx"", ""to hit personx"", ""none""]","[""inconsiderate"", ""rude"", ""uncaring"", ""contemptuous""]","[""none""]","[""none""]","[""none"", ""to talk with person y"", ""to wear earphones""]","[""rude"", ""alone"", ""disinterested"", ""inactive""]","[""to be defiant"", ""to disobey persony"", ""to obey person y"", ""to be happy""]",trn,PersonX chats with PersonY
PersonX does not understand PersonY.,"[""none"", ""Questioned by personY"", ""Asked in depth about beliefs""]","[""none""]","[""to apologize"", ""to walk away"", ""none""]","[""agitated"", ""aloof"", ""dense"", ""stupid""]","[""none""]","[""none""]","[""none""]","[""worried"", ""sad"", ""confused"", ""disoriented""]","[""to express themselves"", ""to ask more questions"", ""to learn the logic they use"", ""get a better reasoning""]",trn,PersonX finds PersonY's expression
PersonX did not lead PersonY away,"[""none"", ""stays in the same spot"", ""wonders what's wrong with PersonX""]","[""none"", ""under control"", ""interested""]","[""none"", ""give thanks"", ""stay""]","[""trustworthy"", ""decent"", ""unhelpful"", ""selfish""]","[""none""]","[""none"", ""them to stay near"", ""to talk to them alone""]","[""none""]","[""busy"", ""held up"", ""satisfied"", ""like they made their point""]","[""to be with y"", ""to talk to y"", ""remain uninvolved"", ""allow personY to stay""]",trn,PersonX leads PersonY away
PersonX can not stand PersonY.,"[""gets ignored"", ""gets denied"", ""none""]","[""lonely"", ""sad"", ""none""]","[""none"", ""avoid personX"", ""leave personX alone""]","[""sensitive"", ""thin skinned"", ""opinionated"", ""passionate"", ""obtuse""]","[""gets irritated"", ""gets frustrated"", ""none""]","[""none""]","[""none"", ""know personY"", ""not like personY""]","[""disgruntled"", ""perturbed"", ""annoying"", ""sad""]","[""to be alone"", ""make decision on own"", ""avoid personY"", ""delete personY's number""]",trn,PersonX really likes PersonY
PersonX doesn't preserve PersonX's independence,"[""none""]","[""trapped"", ""like they can't breath"", ""none""]","[""none"", ""would feel self depreciated"", ""scold person x""]","[""mean"", ""upset"", ""selfish"", ""rude""]","[""none"", ""PersonX is controlled""]","[""none""]","[""none"", ""to buy person y meals for her"", ""to offer person y rides places""]","[""too needy"", ""like they will never get out"", ""trapped"", ""imprisoned""]","[""to find out how to be more methodical"", ""to take some time to plan"", ""take person y out again"", ""take person y home""]",trn,PersonX preserves PersonX's independence
PersonX decides not to call PersonY,"[""anxiously waits for PersonX to call back"", ""starts shaking from being upset"", ""none""]","[""unhappy"", ""disappointed"", ""none""]","[""to wait for PersonX's call"", ""to text PersonX"", ""none""]","[""introverted"", ""alone"", ""avoidant"", ""guilt-ridden"", ""uncaring""]","[""gets a call from PersonY"", ""PersonY leaves a message"", ""loses a friend"", ""receives a worried visit""]","[""to not bother people"", ""to be alone"", ""none""]","[""to have a phone"", ""to know PersonY's number"", ""none""]","[""nervous"", ""lonely"", ""sad""]","[""to think about what to say"", ""to visit PersonY in person"", ""to text PersonY instead"", ""Plan for brekfast"", ""call all friends for breakfast""]",trn,PersonX decides to call PersonY
PersonX does not influence PersonY.,"[""laughs"", ""smirks"", ""none""]","[""none"", ""unmoved"", ""centered""]","[""none""]","[""failed"", ""unsuccesful"", ""shy"", ""aloof""]","[""frowns"", ""gets bood"", ""is ignored"", ""is avoided""]","[""none""]","[""none""]","[""failed"", ""ignored"", ""unskilled"", ""ineffectual""]","[""to be own"", ""to be talented"", ""show person y a cool brand"", ""show person y a t shirt""]",trn,PersonX moves PersonY inch
PersonX doesn't treat PersonY like a PersonZ,"[""is hugged back by PersonX"", ""is told they are loved by PersonX"", ""none""]","[""none"", ""upset"", ""unhappy""]","[""none""]","[""compassionate"", ""caring"", ""unpredictable"", ""discerning""]","[""is thanked by PersonY for being so nice"", ""is hugged by PersonY"", ""workout exercise"", ""go to peaceful places""]","[""none"", ""to be nice to persony only"", ""to be friends with only persony""]","[""none""]","[""unkind"", ""mean"", ""satisfied"", ""happy""]","[""to be want friends"", ""to be more secured"", ""to balance life"", ""to have a favorite""]",trn,PersonX treats PersonY like a PersonZ
PersonX doesn't smile back,"[""none""]","[""confused"", ""unsure"", ""dismayed"", ""rejected""]","[""none""]","[""unhappy"", ""impolite"", ""unsocial"", ""sad"", ""Unfriendly"", ""Selfish"", ""Rude""]","[""hate him more"", ""do not make impression"", ""none""]","[""to hide their teeth"", ""to be mean"", ""to show they are serious"", ""to show they are angry""]","[""none""]","[""annoyed"", ""not happy"", ""stoic"", ""unfriendly""]","[""to look personal"", ""to remain alone"", ""to be sad"", ""to ignore them""]",trn,PersonX smiles back
PersonX did not buy a guitar.,"[""none""]","[""none""]","[""none""]","[""cheap"", ""making their own"", ""disappointed"", ""responsible""]","[""none""]","[""none"", ""to save money"", ""to but another instrument""]","[""to buy a musical instrument"", ""to like music"", ""to decide to uppgrade their instrument"", ""to visit a musical instrument store"", ""to decide the prices are too high""]","[""bored"", ""liked he saved"", ""frugal"", ""poor""]","[""to buy a piano"", ""to have fun"", ""to look for one on ebay"", ""to find a cheaper one""]",trn,PersonX buys the guitar
PersonX doesn't like the sweets that PersonY has,"[""none""]","[""none""]","[""none"", ""eat the sweets themself"", ""offer different sweets""]","[""picky"", ""fussy"", ""particular""]","[""none""]","[""none""]","[""to meet person y"", ""to taste the sweet of person y"", ""try the sweets"", ""form an opinion""]","[""disgusted"", ""bored"", ""distrustful""]","[""to unlike the sweets"", ""to get another sweet"", ""thank the person anyway"", ""have different sweets""]",trn,PersonX eats PersonY's cookies
PersonX can not paint,"[""none""]","[""none""]","[""none""]","[""unskilled"", ""unartistic"", ""talentless""]","[""is taught to paint"", ""is insulted"", ""none""]","[""none""]","[""none""]","[""useless"", ""unqualified"", ""desperate"", ""disappointed""]","[""to learn painting"", ""to practice"", ""to arrange the things"", ""to go office""]",trn,PersonX paints PersonY's portrait
PersonX cannot find anybody,"[""none""]","[""none""]","[""none""]","[""bewildered"", ""perplexed"", ""blind"", ""scared""]","[""none""]","[""none""]","[""look around"", ""arrive at destination"", ""to search for someone"", ""to go out""]","[""unsafe"", ""fearful"", ""lonely"", ""without companionship""]","[""call friends"", ""leave"", ""to make a call"", ""to speak""]",trn,PersonX examines PersonY carefully
PersonX doesn't give PersonY any other options,"[""none""]","[""Frustrated"", ""Used"", ""alienated"", ""attacked""]","[""none"", ""take another option"", ""do what they are told""]","[""controlling"", ""powerful"", ""rude"", ""stubborn""]","[""none""]","[""To pressure person person person y into doing what they want"", ""To feel important"", ""to box person y in"", ""person y to fail""]","[""none"", ""decide on an option"", ""avoid the other options""]","[""In control"", ""Domineering"", ""powerful"", ""dominate""]","[""their things done"", ""to give them a last chance"", ""have their chosen option followed"", ""be in charge""]",trn,PersonX provides PersonY alternative
Person X won't play the game,"[""none""]","[""unsatisfied"", ""like it is their loss"", ""none""]","[""none""]","[""stubborn"", ""rude"", ""selfish"", ""not confident"", ""uninterested"", ""dull""]","[""none""]","[""to protest"", ""to play a different game"", ""none""]","[""none""]","[""ignored"", ""like an outcast"", ""happy"", ""satisfied""]","[""to use the computer instead"", ""to do homework"", ""to sit home and rest"", ""go out to eat""]",trn,PersonX hides and seek
PersonX doesn't bite the hand that feeds PersonX,"[""none""]","[""none""]","[""to help PersonX"", ""to watch over PersonX"", ""to continue the relationship"", ""to feel appreciated""]","[""smart"", ""thougtful"", ""clever"", ""responsible"", ""grateful""]","[""none""]","[""none"", ""keep a good relationship"", ""not damage the relationship""]","[""none"", ""to be cared for by the other individual"", ""to appreciate how well they take care of them""]","[""happy"", ""grateful"", ""thankful"", ""content""]","[""to be in good graces"", ""to humor their benefactor"", ""to continue to show gratitude"", ""to remain loyal""]",trn,PersonX bites the hand that feeds PersonX
