event,logicNeg,cueNeg,pragNeg
PersonX keeps a straight face,"[""PersonX does not keep a straight face""]",[],"[""PersonX is laughing out loud."", ""PersonX bursts into laughter""]"
PersonX prevents ___ from coming,[],[],[]
PersonX sees PersonY later,"[""PersonX does not see PersonY later""]",[],"[""PersonX is estranged from PersonY.""]"
PersonX tans PersonY's hide,"[""PersonX does not tan PersonY's hide""]",[],"[""PersonX gives PersonY support"", ""PersonX received PersonY's hide.""]"
PersonX sets a ___ at variance,[],[],[]
PersonX shares and share alike,"[""PersonX does not share and share alike""]",[],"[""PersonX is selfish"", ""PersonX likes to hoard everything for themselves""]"
PersonX throws ___ in PersonY's face,[],[],[]
PersonX gives ___ a standing ovation,[],[],[]
PersonX must fix manually,"[""PersonX must not fix manually""]",[],"[""PersonX fixes it easily."", ""PersonX allows it to adjust automatically""]"
PersonX steals anything,"[""PersonX does not steal anything""]","[""PersonX steals nothing"", ""PersonX never steals anything""]","[""PersonX steals nothing.""]"
PersonX gets PersonX's nails done,"[""PersonX does not get PersonX's nails done""]","[""PersonX barely gets PersonX's nails done""]","[""PersonX gets personx's makeup done."", ""PersonX removes their nail polish.""]"
PersonX loves the cake,"[""PersonX does not love the cake""]",[],"[""PersonX is disgusted by the cake."", ""PersonX hates sweets""]"
PersonX sees PersonY later that day,"[""PersonX does not see PersonY later that day""]",[],"[""PersonX sees PersonY this morning"", ""PersonX sees PersonY later that week""]"
PersonX thinks would happen,"[""PersonX does not think would happen""]","[""PersonX believes it rarely happens""]","[""PersonX knows would happen""]"
PersonX wants ___ to play with,[],[],[]
PersonX goes ___ for the first time,[],[],[]
PersonX returns the next day,"[""PersonX does not return the next day""]","[""PersonX never comes back""]","[""PersonX stays there forever.""]"
PersonX would n't like PersonY,[],[],"[""PersonX likes PersonY"", ""PersonX has a secret crush on PersonY.""]"
PersonX never been on one,[],"[""PersonX never been inside one""]","[""PersonX is British royalty""]"
PersonX notices an ad,"[""PersonX does not notice an ad""]",[],"[""PersonX mutes the television."", ""PersonX smells an ad""]"
PersonX blows PersonX's load,"[""PersonX does not blow PersonX's load""]","[""PersonX not by any means blows PersonX's load""]","[""PersonX keeps PersonX's load"", ""PersonX preserves PersonX's load""]"
PersonX chooses another ___,[],[],[]
PersonX eats toast,"[""PersonX does not eat toast"", ""PersonX doesn't eat carbs""]",[],"[""PersonX goes on a fast.""]"
PersonX conceals PersonX's identity,"[""PersonX does not conceal PersonX's identity""]",[],"[""PersonX is a famous actor."", ""PersonX reveals PersonX's identity""]"
PersonX catches my attention,"[""PersonX does not catch my attention""]",[],"[""PersonX is bland and quiet"", ""PersonX is missing.""]"
PersonX looks like crap,"[""PersonX does not look like crap""]","[""PersonX looks unlike crap""]","[""PersonX looks amazingly wonderful."", ""PersonX looks like perfection""]"
PersonX practices all day,"[""PersonX does not practice all day""]","[""PersonX never practices""]",[]
PersonX sees ___ on the ground,[],[],[]
PersonX gives a small smile,"[""PersonX does not give a small smile""]",[],"[""PersonX gives a small frown"", ""PersonX sheds a tear""]"
PersonX cuts PersonY's leg,"[""PersonX does not cut PersonY's leg""]",[],"[""PersonX heals PersonY's leg"", ""Person x cuts PersonY's food.""]"
PersonX is in love with PersonY,"[""PersonX is not in love with PersonY""]","[""PersonX is on no condition in love with PersonY"", ""PersonX is not by any means in love with PersonY"", ""PersonX is under no circumstances in love with PersonY"", ""PersonX is not at all in love with PersonY"", ""PersonX is barely in love with PersonY""]","[""PersonX hates PersonY"", ""PersonX detests PersonY""]"
PersonX tells ___ that PersonY had cancer,[],[],[]
PersonX always worked,"[""PersonX did not always work""]","[""PersonX never worked.""]","[""PersonX is unemployed.""]"
PersonX spends ___ at the beach,[],[],[]
PersonX gets PersonX's feet wet,"[""PersonX does not get PersonX's feet wet""]","[""PersonX avoids puddles""]","[""PersonX gets PersonX's dog wet""]"
PersonX gets the call,"[""PersonX does not get the call""]","[""PersonX not by any means gets the call"", ""PersonX never gets called.""]","[""PersonX gets the letter""]"
PersonX sees wood,"[""PersonX does not see wood"", ""PersonX can't find wood""]","[""PersonX seldomly sees wood"", ""PersonX no longer sees wood""]","[""PersonX sees plastic""]"
PersonX catches PersonY red-handed,"[""PersonX does not catch PersonY red-handed"", ""PersonX can't find PersonY in the act""]",[],"[""PersonY gets away with it.""]"
PersonX really pisses PersonY off,"[""PersonX does not really piss PersonY off""]",[],"[""PersonX really delights PersonY"", ""PersonX really makes PersonY happy""]"
PersonX smells something bad,"[""PersonX does not smell something bad""]",[],"[""PersonX enjoys the aroma."", ""PersonX smells something good""]"
PersonX takes a bow,"[""PersonX does not take a bow""]","[""PersonX in no way takes a bow"", ""PersonX barely ever takes a bow""]","[""PersonX received a bow."", ""PersonX flips them off""]"
PersonX loses PersonX's ___ in the war,[],[],[]
PersonX goes down the toilet,"[""PersonX does not go down the toilet""]","[""PersonX hardly goes down the toilet""]","[""PersonX sits on the toilet."", ""PersonX sits on the toilet""]"
PersonX increases women's ___,[],[],[]
PersonX dyes PersonY's hair pink,"[""PersonX does not dye PersonY's hair pink""]","[""PersonX opposes dying PersonY's hair pink""]","[""PersonX cuts Persony's hair."", ""PersonX washes PersonY's hair dyes out.""]"
PersonX scrambles eggs,"[""PersonX does not scramble eggs""]",[],"[""Person X pays for breakfast."", ""PersonX boils eggs""]"
PersonX gets something to eat,"[""PersonX does not get something to eat"", ""PersonX doesn't get something to eat""]","[""PersonX gets nothing to eat""]","[""PersonX gets something to drink""]"
PersonX starts with a clean slate,"[""PersonX does not start with a clean slate""]",[],"[""PersonX has a history of known indiscretions."", ""PersonX comes with a lot of baggage""]"
PersonX rides bikes,"[""PersonX does not rid bikes""]",[],"[""PersonX flys bikes"", ""PersonX hates to exercise""]"
PersonX dates for years,"[""PersonX does not date for years""]","[""PersonX dates for a few days.""]","[""PersonX stays single for years""]"
PersonX looks at PersonY's face,"[""PersonX does not look at PersonY's face"", ""PersonX does not look at PersonY's face.""]",[],"[""PersonX looks at PersonY's feet""]"
PersonX exposes PersonX,"[""PersonX does not expose PersonX""]",[],"[""PersonX hides PersonX"", ""PersonX keeps to themselves.""]"
PersonX begins to eat it,"[""PersonX does not begin to eat it"", ""PersonX isn't hungry.""]",[],"[""PersonX finishes to eat it""]"
PersonX finds PersonX's car,"[""PersonX does not find PersonX's car"", ""PersonX can't find PersonX's car""]",[],"[""PersonX's car is stolen.""]"
PersonX earns PersonY income,"[""PersonX does not earn PersonY income""]",[],"[""PersonX costs PersonY income""]"
PersonX learns french,"[""PersonX does not learn french""]","[""PersonX unlearns french""]","[""PersonX learns English"", ""PersonX becomes a mute""]"
PersonX eats less,"[""PersonX does not eat less""]","[""PersonX resists eating less"", ""PersonX under no circumstances eats less""]","[""PersonX eats more."", ""PersonX eats more""]"
PersonX replaces the old one,"[""PersonX does not replace the old one""]","[""PersonX denies that they replace the old one""]","[""PersonX keeps the old one"", ""PersonX refurbishes the old one.""]"
PersonX leaves the table,"[""PersonX does not leave the table""]",[],"[""PersonX stays at the table"", ""PersonX sits at the table""]"
PersonX renews within days,"[""PersonX does not renew within days""]",[],"[""PersonX renews within the year"", ""PersonX renews within years""]"
PersonX plays a new game,"[""PersonX does not play a new game""]","[""PersonX has problem with playing a new game"", ""PersonX hardly ever plays a new game""]","[""PersonX plays a familiar game."", ""PersonX reads a book.""]"
PersonX makes ___ every morning,[],[],[]
PersonX leaves the car,"[""PersonX does not leave the car""]",[],"[""PersonX gets on a bike"", ""PersonX stays in the car""]"
PersonX leaves the class,"[""PersonX does not leave the class""]","[""PersonX opposes leaving the class"", ""PersonX barely leaves the class"", ""PersonX scarcely leaves the class""]","[""PersonX finds a seat in class"", ""PersonX stayed enrolled.""]"
PersonX thinks would become,"[""PersonX does not think would become"", ""PersonX does not think about anything."", ""PersonX doesn't think""]",[],[]
PersonX shrugs PersonY's shoulders,"[""PersonX does not shrug PersonY's shoulders""]",[],"[""PersonX lowers PersonY's shoulders"", ""PersonX taps  PersonY's shoulders""]"
PersonX arrives at PersonX's destination,"[""PersonX does not arrive at PersonX's destination""]","[""PersonX barely ever arrives at PersonX's destination""]","[""PersonX departs from PersonX's destination."", ""PersonX gets lost.""]"
PersonX works fine,"[""PersonX does not work fine"", ""PersonX doesn't finish their work.""]",[],"[""PersonX works horribly.""]"
PersonX develops web presence,"[""PersonX does not develop web presence""]",[],"[""Personx is anonymous on the web"", ""PersonX has horrible web presence.""]"
PersonX makes too much noise,"[""PersonX does not make too much noise""]","[""PersonX has problem with making too much noise"", ""PersonX not by any means makes too much noise"", ""PersonX restrains themselves from making too much noise""]","[""PersonX is very quiet"", ""PersonX is completely silent.""]"
PersonX makes contact,"[""PersonX does not make contact"", ""PersonX doesn't make contact""]","[""PersonX not at all makes contact"", ""PersonX restrains themselves from making contact"", ""PersonX prevents themselves from making contact""]","[""PersonX keeps their distance""]"
PersonX never been to one,[],[],"[""PersonX has been to many."", ""PersonX goes every weekend""]"
PersonX commits ___ by jumping,[],[],[]
PersonX enters PersonX's car,"[""PersonX does not enter PersonX's car""]","[""PersonX scarcely enters PersonX's car"", ""PersonX not by any means enters PersonX's car""]","[""personx enters personx's bus"", ""PersonX leaves PersonX's car""]"
PersonX notices a strange smell,"[""PersonX does not notice a strange smell""]","[""PersonX barely notices a strange smell""]","[""PersonX notices a familiar smell"", ""PersonX ignores the strange smell""]"
PersonX jumps the shark,"[""PersonX does not jump the shark""]","[""PersonX rarely jumps the shark""]","[""PersonX remains believable."", ""PersonX stays successful""]"
PersonX takes place soon,"[""PersonX does not take place soon""]",[],"[""PersonX takes place in a long time"", ""PersonX starts in a long time""]"
"PersonX buys ___ , though",[],[],[]
PersonX bets PersonY,"[""PersonX does not bet PersonY"", ""PersonX does not gamble.""]",[],"[""PersonX hates gambling""]"
PersonX moves to florida,"[""PersonX does not move to florida""]",[],"[""PersonX leaves Florida"", ""PersonX gets kicked out of their home""]"
PersonX feels the heat,"[""PersonX does not feel the heat""]",[],"[""PersonX theorizes there is heat"", ""PersonX feels the cold""]"
PersonX shakes the ___ to PersonX's foundations,[],[],[]
PersonX grabs PersonY by the hair,"[""PersonX does not grab PersonY by the hair""]",[],"[""PersonX feels PersonY by the hair"", ""PersonX talks to PersonY calmly and rationally""]"
PersonX does not have a lot of money,"[""PersonX does not do not have a lot of money""]",[],"[""PersonX has a lot of money"", ""PersonX is a billionaire.""]"
PersonX represents PersonY increase,"[""PersonX does not represent PersonY increase""]",[],"[""PersonX represents PersonY's decline"", ""PersonX represents PersonY decrease""]"
PersonX buys ___ at the gas station,[],[],[]
PersonX puts together ___,[],[],[]
PersonX takes place during the years,"[""PersonX does not take place during the years""]",[],"[""PersonX takes place during the days""]"
PersonX uses the ___ as a means,[],[],[]
PersonX orders a cake,"[""PersonX does not order a cake""]","[""PersonX no longer orders a cake""]","[""PersonX eats the cake."", ""PersonX cancels a cake order""]"
PersonX beats PersonY easily,"[""PersonX does not beat PersonY easily""]",[],"[""PersonX loses to PersonY.""]"
PersonX dyes PersonX's hair blonde,"[""PersonX does not dye PersonX's hair blonde""]",[],"[""PersonX dyes PersonX's hair black""]"
PersonX pulls PersonY's hand back,"[""PersonX does not pull PersonY's hand back""]","[""PersonX refuses to pull PersonY's hand back""]","[""PersonX pushes PersonY's hand away""]"
PersonX lets PersonY's guard,"[""PersonX doesn't guard PersonY""]",[],"[""PersonX attacks PersonY's guard""]"
PersonX gets second place,"[""PersonX does not get second place""]",[],"[""PersonX wins"", ""PersonX gets second to last place""]"
PersonX replaces PersonX's tire,"[""PersonX does not replace PersonX's tire""]",[],"[""PersonX calls a tow truck."", ""PersonX calls a tow truck to tow PersonX's car""]"
PersonX takes PersonY's place,"[""PersonX does not take PersonY's place""]","[""PersonX resists taking PersonY's place"", ""PersonX under no circumstances takes PersonY's place"", ""PersonX rarely takes PersonY's place"", ""PersonX never takes PersonY's place""]","[""PersonY takes PersonX's place"", ""PersonY is guaranteed PersonY's position""]"
PersonX sits next to PersonY,"[""PersonX does not sit next to PersonY""]",[],"[""PersonX sits far from PErsonY."", ""PersonX sits alone""]"
PersonX tries sushi before,"[""PersonX does not try sushi before"", ""PersonX won't try sushi""]","[""PersonX never tried sushi before""]",[]
PersonX draws PersonX's conclusions,"[""PersonX does not draw PersonX's conclusions"", ""PersonX cannot figure it out.""]","[""PersonX comes to no conclusions.""]",[]
PersonX obeys every ___,[],[],[]
PersonX has been deferred until test results are in,"[""PersonX does not have been deferred until test results are in""]",[],"[""PersonX will be allowed to stay while awaiting test results"", ""PersonX has been deferred until test results arent in""]"
PersonX prevents PersonY's escape,"[""PersonX does not prevent PersonY's escape""]",[],"[""PersonX frees PersonY."", ""PersonX helps PersonY escape.""]"
PersonX rushes to school,"[""PersonX does not rush to school""]",[],"[""PersonX dilly dally's toward school."", ""PersonX is early for school""]"
PersonX pulls PersonY's legs,"[""PersonX does not pull PersonY's legs""]",[],"[""PersonX pushes PersonY's legs"", ""PersonX is very serious with PersonY""]"
PersonX provides PersonY estimate,"[""PersonX does not provide PersonY estimate"", ""PersonX estimate is not provided to PersonY.""]",[],"[""PersonX provides their own estimate""]"
PersonX saves PersonX's people,"[""PersonX does not save PersonX's people""]",[],"[""PersonX endangers PersonX's people."", ""PersonX leaves PersonX's people to die""]"
PersonX turns PersonX's ___ elsewhere,[],[],[]
PersonX goes ___ to dinner,[],[],[]
PersonX is on PersonY's school's basketball team,"[""PersonX is not on PersonY's school's basketball team"", ""PersonX isn't on PersonY's school's basketball team""]",[],"[""PersonX is on PersonY's school's soccer team""]"
PersonX desperately needed ___,[],[],[]
PersonX finds ___ in PersonX's attic,[],[],[]
PersonX pisses up a rope,"[""PersonX does not piss up a rope"", ""PersonX doesn't waste their time.""]",[],"[""PersonX pisses down a rope""]"
PersonX receives PersonY answer,"[""PersonX does not receive PersonY answer""]",[],"[""PersonX ignores PersonY answer."", ""PersonX gives PersonY's answer""]"
PersonX hangs PersonX's clothes,"[""PersonX does not hang PersonX's clothes""]",[],"[""PersonX burns PersonX's clothes."", ""PersonX throws PersonX's clothes on the floor.""]"
PersonX is walking to the store,"[""PersonX is not walking to the store"", ""PersonX isn't walking to the store""]","[""PersonX is not at all walking to the store"", ""PersonX is barely walking to the store""]","[""PersonX is driving to the store""]"
PersonX links together ___,[],[],[]
PersonX calls the ambulance,"[""PersonX does not call the ambulance""]",[],"[""PersonX died"", ""PersonX calls the pizza parlor""]"
