event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX gets everything PersonY needed,"[""none""]","[""loved"", ""overwhelmed"", ""taken care of""]","[""to enjoy the things"", ""to thank personX"", ""to accept the items"", ""to thank PersonY""]",tst,"[""helpful"", ""capable"", ""generous"", ""responsible""]","[""another joint"", ""person x uses everything"", ""PersonX meets PersonY's needs"", ""PersonX is considerate"", ""one diffied"", ""person x thanks person y""]","[""to be thoughtful"", ""to help persony"", ""to be helpful""]","[""to go shopping"", ""to talk to personY"", ""to ask PersonY what is needed"", ""to know exactly what he needs""]","[""appreciated"", ""tired"", ""happy"", ""helpful and useful""]","[""to give things to PersonY"", ""to inform personY"", ""to get some rest"", ""to rest""]"
PersonX stands the test of time,"[""none""]","[""none""]","[""none""]",tst,"[""older"", ""proud"", ""enduring"", ""hardy""]","[""none"", ""defeats enemies"", ""successfully attains goal""]","[""none""]","[""none"", ""to be solid"", ""to not be phased""]","[""vindicated"", ""accomplished"", ""brave""]","[""to be themselves"", ""to be strong"", ""to keep up the strength"", ""to be proud""]"
PersonX shakes the ___ to PersonX's foundations,"[""none""]","[""none""]","[""none""]",tst,"[""inconsistent"", ""Persuasive"", ""Believes"", ""revolutionary"", ""harmful"", ""progressive""]","[""becomes weak"", ""examines the results"", ""sighs"", ""is put in jail""]","[""to be in control""]","[""make a racket"", ""spark outrage""]","[""powerful""]","[""drink water"", ""calm down""]"
PersonX makes a turn,"[""none""]","[""excited that personx is coming home"", ""none""]","[""none""]",tst,"[""changing"", ""in progress"", ""determined"", ""skilled""]","[""PersonX smiles"", ""PersonX looks ahead""]","[""to go home"", ""to take other route"", ""to go to a parking lot.""]","[""to turn left or right"", ""none"", ""to go where there is an option to turn"", ""to be following navigation"", ""to be driving""]","[""happy to be heading home"", ""safe"", ""okay.""]","[""to look at the map"", ""to keep driving"", ""to walk to their destination"", ""to go somewhere else"", ""to go straight ahead"", ""to enter building as per navigation""]"
PersonX takes PersonY's toll,"[""none""]","[""satisfied."", ""like they're doing their part to pay what's due."", ""glad they have the toll road to use so they can get to work faster."", ""relieved they don't have to drive on the freeway with all the heavy traffic.""]","[""accelerate the car"", ""to hope that PersonX is ok"", ""to continue on their trip"", ""merge into the traffic lanes"", ""to continue motoring"", ""to receive any appropriate change"", ""to thank PersonX""]",tst,"[""nervous"", ""curtious"", ""real friend"", ""tired""]","[""Moves forward"", ""Is thanked by Y""]","[""to be a good worker and gather all of the toll fees."", ""to let the person use the toll road for less traffic."", ""to earn a living."", ""do his job."", ""to perform his job.""]","[""to go to work"", ""none"", ""to reach out for the toll amount"", ""to inform PersonY of the toll amount"", ""talk to them""]","[""like he's doing a good job."", ""like a good worker."", ""good about doing their job and making commuters happy."", ""proud of all the people who want to use the toll."", ""accomplished.""]","[""raise the safety arm"", ""to help the next motorist in line"", ""thanks person Y"", ""to make sure PersonY is safe"", ""to have PersonY proceed"", ""to bear the burden""]"
PersonX pats PersonY on the head,"[""none"", ""pushes PersonX away"", ""smiles""]","[""embarrassed and funny"", ""valued"", ""reassured.""]","[""Person X to stop."", ""to go play with their toys."", ""shake their head"", ""push PersonX away"", ""to pat Person X's head."", ""to rub their head.""]",tst,"[""elderly"", ""playful"", ""patronizing"", ""kindly"", ""affectionate"", ""friendly""]","[""asks a question"", ""none"", ""congratulates""]","[""to show affection"", ""show affection"", ""to be reassuring and kind.""]","[""none"", ""get close to PersonY"", ""find PersonY"", ""to put their hand over Person Y's head."", ""to find Person Y.""]","[""comfortable and satisfied."", ""tender"", ""like he is being kind""]","[""to find someone else to pat their head."", ""to keep petting Person Y's head."", ""to watch Person Y play with toys."", ""to go back to talking with Person Y's parents."", ""touch another part of body"", ""lower their hand""]"
PersonX feels hopeless,"[""none""]","[""none"", ""worried""]","[""none""]",tst,"[""suicidal"", ""depressed"", ""in despair"", ""desperate"", ""despondent"", ""pessimistic""]","[""gets depressed and starts crying"", ""thinks about suicide"", ""Feels down all the time"", ""Starts to loose sight of lifestyle"", ""starts yelling for help"", ""stares blankly""]","[""none""]","[""none"", ""encounter a tough situation"", ""to have been let down"", ""to have failed at something"", ""be confused about what to do""]","[""depressed"", ""depressed and humiliated"", ""sad""]","[""call a friend for help"", ""cry a lot"", ""to be rid of problems"", ""to feel happy"", ""to cry"", ""to give up on life"", ""to work harder""]"
PersonX replaces the tire,"[""none""]","[""none"", ""happy the car is fixed and they can move on""]","[""none""]",tst,"[""mechanical"", ""handy"", ""helpful"", ""effective"", ""useful"", ""skilled""]","[""gets dirty"", ""is able to travel."", ""HAS TO KNOW HOW TO CHANGE THE TIRE"", ""NEEDS TO REMOVE THE TIRE"", ""fixes something"", ""exhert energy and breathe harder."", ""exercise muscles in arm."", ""HAS TO USE STRENGTH"", ""NEEDS TO USE KNOWLEDGE""]","[""to fix the damaged tire"", ""satisfy a customer"", ""to fix a flat"", ""to fix a flat tire""]","[""get the substitute tyre"", ""remove the old tire""]","[""angry"", ""accomplished"", ""tired"", ""happy to fix the car""]","[""to put the other tire away"", ""drive the vehicle"", ""to get in the car"", ""to drive home"", ""to keep driving"", ""to buy another spare"", ""to get a move on"", ""to be paid""]"
PersonX watches the kids,"[""the kids are watched"", ""they don't get in trouble"", ""kids listen to someone other than their usual guardians"", ""pays person X"", ""takes kids home"", ""they stay safe""]","[""grateful"", ""appreciative""]","[""to go home"", ""none"", ""To be entertained"", ""to get away from PersonX"", ""To break the rules on X""]",tst,"[""thoughtful"", ""observant"", ""responsible"", ""a babysitter"", ""parental""]","[""gets paid"", ""is mature"", ""none"", ""sends the kids home"", ""is vigilant""]","[""to make sure they're safe"", ""to be the responsible parent"", ""to make sure they are okay""]","[""to go get the kids"", ""Plan a meal"", ""to gain trust"", ""to get ready"", ""to baby proof the house"", ""to buy toys"", ""Plan entertainment"", ""to go to the park""]","[""responsible"", ""satisfied""]","[""to play with them"", ""To keep the kids happy"", ""to talk with them"", ""to go on birth control"", ""to be rewarded for watching the kids"", ""to relax"", ""to clean up"", ""To make extra money""]"
PersonX puts the ___ to death,"[""none""]","[""anger and hopelessness."", ""nothing because they're probably dead."", ""scared to death"", ""afraid""]","[""to get help"", ""none"", ""to be free""]",tst,"[""depressed"", ""merciless"", ""cruel"", ""sad""]","[""PersonX is remorseful"", ""PersonX is haunted""]","[""to put an end to the misery of a captive."", ""to punish the criminal for his offense."", ""to kill"", ""to exercise power""]","[""to be a leader"", ""to have captured people"", ""to have the knowledge"", ""to be a judge"", ""to kill"", ""to have a weapon"", ""to go somewhere""]","[""bad after killing someone, even if it was his/her duty to do so."", ""like a god"", ""powerful""]","[""to rid all crime"", ""to create an example of them"", ""to have all power"", ""to change clothes"", ""to leave"", ""to go on vacation"", ""to get rid of all others"", ""to clean up""]"
PersonX forces PersonY's way,"[""shouts"", ""none"", ""quits"", ""makes it on time"", ""gets through the crowd""]","[""stepped on"", ""disgusted.""]","[""to stop PersonX"", ""to get away"", ""to get back to PersonX"", ""to take back autonomy"", ""to get somewhere"", ""to thank PersonX""]",tst,"[""aggressive"", ""commanding"", ""willful"", ""hot-tempered""]","[""meets with success"", ""experiences a coup"", ""receives resistance"", ""is yelled at"", ""falls down"", ""gets yelled at""]","[""to get around the person."", ""his way""]","[""to get close to PersonY"", ""none"", ""to disrupt PersonY"", ""to control PersonY"", ""to hold onto PersonY""]","[""nothing."", ""powerful""]","[""to get through a crowd"", ""to exert dominance"", ""to get to a destination"", ""to emasculate PersonY"", ""to make sure PersonY stays away"", ""to overpower PersonY""]"
PersonX asks PersonX's dad for help,"[""gives advice"", ""none"", ""pats son on the back""]","[""flattered to be asked"", ""great and happy"", ""helpful"", ""obligated"", ""annoyed"", ""happy to help him"", ""happy""]","[""none""]",tst,"[""needy"", ""emotional"", ""helpless"", ""gentle""]","[""applies advice"", ""awaits the consent"", ""looks forward to receiving the help"", ""listens to advice""]","[""assistance"", ""financial support from his dad"", ""information"", ""assistance from their father"", ""to finish his assignment"", ""to get something done"", ""to do something right""]","[""to find out the right place"", ""to find out the right time""]","[""relieved to get his burden off"", ""hopeful"", ""grateful"", ""happy"", ""assured""]","[""to write a thank you letter"", ""to take dad out for dinner""]"
PersonX realizes that PersonY was lost,"[""They tell X to call the police."", ""none"", ""gives monetary compensation"", ""gets help"", ""They help X look for Y.""]","[""relieved they've been found""]","[""remember directions for next time"", ""find their destination""]",tst,"[""Worried"", ""frightened"", ""Concerned"", ""scared""]","[""She thinks about what to do."", ""She searches for Y."", ""receives monetary compensation"", ""none"", ""gives directions""]","[""none""]","[""to notice they were in a bad situation"", ""to of watched personY""]","[""sad that persony was lost""]","[""give directions to PersonY"", ""ask PersonY if they need someone to show them where they need to go""]"
