event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX avoids hitting the telephone pole.,"[""none""]",,"[""none""]","[""Careful"", ""Attentative"", ""cautious"", ""alert""]","[""they avoid injury"", ""they avoid an accident"", ""sighs in relief"", ""adrenaline surges""]",,"[""none""]",,"[""to be alone"", ""to stay home"", ""to get out and make sure their car is ok"", ""to ask if everyone in the car is ok""]",tst,PersonX hits a telephone pole,avoid,verb
PersonX disagrees with PersonY,"[""argued with"", ""talked to"", ""none""]",,"[""to make PersonX agree with them"", ""to bug PersonX until they open their minds"", ""to negotiate"", ""to find common ground""]","[""adamant"", ""argumentative"", ""oppossed""]","[""argued with"", ""talked to"", ""ignores Y for a while"", ""apologizes""]",,"[""to be having a discussion with PersonY"", ""to listen to PersonY's side of the issue"", ""none""]",,"[""to make PersonY understand their opinions"", ""to convert PersonY to their way of thinking"", ""to battle persony"", ""to stand their ground""]",tst,PersonX takes PersonY stand,disagree,affixes_verb
PersonX refuses to take PersonX's stand.,"[""none""]",,"[""none"", ""to scold PersonX"", ""to let PersonX go""]","[""nervous"", ""afraid"", ""dishonest"", ""untrustworthy""]","[""makes enemy"", ""is branded a disgrace"", ""gets yelled at"", ""gets defensive""]",,"[""none"", ""to listen to a problem"", ""to think about an issue""]",,"[""bad"", ""at rest"", ""to give in"", ""to hide from others""]",tst,PersonX takes PersonX's stand,refuse,verb
PersonX fails to meet PersonX's standards,"[""loses trust"", ""is mad at person X"", ""none""]",,"[""Help them"", ""Coach them"", ""none""]","[""judged"", ""substandard"", ""upset"", ""worried"", ""depressed""]","[""hates self"", ""is frustrated"", ""need work harder to improve his talent"", ""might level up standard""]",,"[""Not work"", ""Not try"", ""none""]",,"[""Get better"", ""Try harder"", ""to commit suicide"", ""to shoot themselves""]",tst,PersonX meets PersonX's standards,fail,verb
PersonX is unable to have PersonY's children,"[""none""]",,"[""to reassure their partner"", ""to look up a solution on the computer"", ""get another person to have their baby"", ""to forget the experience""]","[""disappointed"", ""barren"", ""damaged"", ""unfit""]","[""gets angry"", ""feels like a failure"", ""feel irritate behavior of children"", ""cook food and feed to children""]",,"[""to attempt to make a baby"", ""to confirm the situation with their doctor"", ""to meet person y"", ""to have sex""]",,"[""to adopt children"", ""to check out the foster home"", ""to leave immediately"", ""to go have fun""]",tst,PersonX gives PersonY children,unable,affixes_adj
PersonX is proven untrustworthy to PersonY,"[""none"", ""brows furrow"", ""head shakes""]",,"[""none""]","[""irresponsible"", ""dishonest"", ""devious"", ""a cheater"", ""selfish""]","[""Dumped by personY"", ""Forced to live alone"", ""thinks of ways to regain trust"", ""face turns red""]",,"[""Get untrustworthyu"", ""get a unworthy item"", ""none""]",,"[""step up a long way"", ""make all of them happy"", ""feel untrustworthy"", ""feel nervous""]",tst,PersonX lets PersonY's guard down,untrustworthy,affixes_adj
PersonX makes no effort.,"[""none""]",,"[""none""]","[""lazy"", ""unmotivated"", ""unhappy""]","[""looses a job"", ""looses a relationship"", ""does not feel tired"", ""loses oportunities"", ""gets behind""]",,"[""none"", ""to not try hard"", ""to do something easily""]",,"[""to practice well"", ""to motivates himself"", ""To continue to do things effortlessly"", ""To do things the easy way""]",tst,PersonX pulls out all the stops,no,single_word
PersonX is much less careful,"[""none""]",,"[""none""]","[""reckless"", ""daring"", ""careless""]","[""injuries themselves"", ""gets in trouble"", ""they hit a tree drunk driving"", ""they are pulled over by the police""]",,"[""none""]",,"[""learn to be more careful"", ""not get in trouble"", ""to make sure they do not hurt themselves"", ""to tell others to be careful""]",tst,PersonX is much more careful,less,affixes_adj
PersonX never plays laser tag,"[""none""]",,"[""none""]","[""incurious"", ""unadventurous"", ""lazy"", ""fun averse"", ""shy""]","[""Begged to play by friends"", ""Driven to laser tag arena"", ""gets asked to play laser tag"", ""loses the first time they play""]",,"[""none"", ""to not play laser tag"", ""to don't know how to play""]",,"[""play another game"", ""relax from playing"", ""to hate laser tag"", ""to play but he never get a chance to play""]",tst,PersonX plays laser tag,never,single_word
PersonX discontinues leading PersonY into temptation,"[""none"", ""is less tempted by PersonX"", ""thinks about PersonX less""]","[""none"", ""yearning for PersonX"", ""closer connection to other partner""]","[""none"", ""to thank x"", ""to show adoration for x""]","[""responsible"", ""helpful"", ""righteous""]","[""plan for a meeting"", ""none"", ""he not like learn from personY"", ""he like to learn from other friends""]","[""none"", ""PersonY to stay faithful to their pre-existing partner"", ""feels guilty"", ""to do the right thing"", ""be a good person""]","[""none"", ""to respect Y"", ""to care for Y's soul""]","[""considerate"", ""hardworking"", ""less guilty"", ""honorable"", ""calm"", ""relieved""]","[""plan to meet a person"", ""support Y"", ""go to heaven"", ""to go study"", ""to go abroad""]",tst,PersonX leads PersonY into temptation,discontinue,verb
PersonX scarcely goes to the library to study,"[""none""]","[""none""]","[""none""]","[""fun-loving"", ""irresponsible"", ""busy"", ""avoiding""]","[""none"", ""thinks studying at home is better"", ""stresses about not getting a book he needs"", ""thinks he would rather stay home"", ""stresses about missing a book""]","[""none"", ""to study at home"", ""to access the library online"", ""to procrastinate"", ""to get drunk""]","[""to decide whether to go"", ""to need to prepare for tests"", ""none"", ""studies at home"", ""studies at friend's house""]","[""lazy"", ""disinterested"", ""clever"", ""studious"", ""stupid""]","[""to learn at home"", ""to stay home"", ""to study the material in their room"", ""to ask a classmate to tutor them at home"", ""to relax"", ""to socialize""]",tst,PersonX goes to the library to study,scarcely,single_word
PersonX is pretty unhappy,"[""none""]","[""none""]","[""none""]","[""ashamed"", ""mortified"", ""discontent"", ""unaccomplished""]","[""none"", ""scowls"", ""cries"", ""wants to be happy"", ""travels to be happy""]","[""none""]","[""to have been happy before"", ""to see something sad"", ""none""]","[""sorry"", ""unhappy"", ""sad"", ""pessimistic""]","[""to go out and let the stress out"", ""to care more about personx's mental health"", ""to find a way to cheer themselves up"", ""to tell others why they are unhappy"", ""to be alone"", ""to go trip""]",tst,PersonX is pretty happy,unhappy,affixes_adj
PersonX stops getting warm,"[""none""]","[""none""]","[""none""]","[""warmed up"", ""not cold"", ""cold"", ""chilly"", ""frigid""]","[""shivers"", ""shakes"", ""plan for a meeting"", ""will cool off"", ""will shiver""]","[""none""]","[""to not fixer heater"", ""go outside in cold weather"", ""to take off clothes"", ""to turn on the air conditioning"", ""to make fire"", ""to get near to fire""]","[""cold"", ""without warmth"", ""lonely"", ""shivering""]","[""to buy a new jacket"", ""put on warmer clothes"", ""to take a hot bath"", ""to get under the covers in bed"", ""to make more fire"", ""to stay warm""]",tst,PersonX gets warm,stop,verb
PersonX under no circumstances calls an ambulance,"[""none"", ""get a work done"", ""GOOD""]","[""none"", ""helpless"", ""in pain"", ""confused at the unwillingness to help""]","[""none""]","[""cruel"", ""careless"", ""calm under pressure"", ""composed""]","[""stresses about being hurt"", ""thinks about the money he will save"", ""get a work doneget a work done"", ""get a work done"", ""gets an uber"", ""drives to the hospital on their own"", ""calls a friend""]","[""to be left alone"", ""to not go to hospital"", ""to save money"", ""not cause a scene"", ""to believe the person is ok"", ""to hide a crime or accident"", ""to not get involved in the incident""]","[""none"", ""to get work done""]","[""scared"", ""nervous"", ""ill"", ""needing care"", ""regret for not assisting"", ""worry for the safety of the injured""]","[""to get first aid only"", ""to stay safe"", ""to speed"", ""to sleep"", ""to drive to the hospital"", ""to make a doctor's appointment""]",tst,PersonX calls an ambulance,under no circumstances,multi_word
PersonX is not by any means on vacation in mexico,"[""plan for a meeting"", ""none""]","[""none""]","[""none""]","[""homebound"", ""working"", ""Impoverished"", ""Simple""]","[""none"", ""does learn about Mexico"", ""does not eat Mexican food""]","[""none"", ""To visit Argentina instead"", ""To visit friends instead""]","[""none""]","[""safe"", ""like a homebody"", ""busy"", ""tired"", ""Excited"", ""Adventurous""]","[""to go on vacation somewhere else"", ""to continue to work and save money"", ""to plan a vacation and take a rest"", ""to make some time for personx"", ""plan a vacation"", ""stay home""]",tst,PersonX is on vacation in mexico,not by any means,multi_word
PersonX not at all writes poetry,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""unartistic"", ""unemotional"", ""uncreative""]","[""none""]","[""none"", ""to avoid writers block"", ""to work on a novel""]","[""to not enjoy poetry"", ""dislike writing"", ""to not be interested in poetry"", ""to not be in touch with personx's feelings"", ""to be an artist"", ""to act""]","[""unhappy"", ""unsatisfied"", ""disinterested"", ""uncreative"", ""satisfied"", ""content""]","[""to watch TV"", ""listen to music"", ""to invest more time into writing"", ""to have a more time for new hobbies"", ""to practice more"", ""to have a passion""]",tst,PersonX writes poetry,not at all,multi_word
PersonX by no means gives PersonY opinion,"[""none"", ""to fun"", ""make work"", ""loses time finding more opinions"", ""misses deadline for survey""]","[""none""]","[""to continue eliciting opinions"", ""to abide by their own opinions"", ""to fun"", ""to make"", ""none""]","[""self-contained"", ""private"", ""shy"", ""lacking in confidence"", ""permissive""]","[""none"", ""to go to work well"", ""is no longer invited to meetings"", ""doesn't get paid""]","[""none"", ""to keep their beliefs a mystery"", ""to maintain the fun atmosphere""]","[""to have an opinion specific to Y"", ""to be asked for an opinion by Y"", ""plan to meet a person"", ""to talk with person y"", ""to ask for suggestion""]","[""shy"", ""disinterested"", ""satisfied with self"", ""tired"", ""anxious at being hounded to speak"", ""glad to deflect""]","[""to keep his opinions private"", ""to share his thoughts"", ""to start"", ""to make"", ""to get a good idea"", ""to earn profit""]",tst,PersonX gives PersonY opinion,by no means,multi_word
PersonX by no means has a lot of money,"[""none""]","[""none""]","[""none""]","[""broke"", ""poor"", ""hard off"", ""destitute""]","[""none"", ""get a work done"", ""can't afford buying expensive things"", ""needs to work harder to earn more money""]","[""none"", ""to have lots of free time"", ""to work for a nonprofit organization""]","[""none"", ""to get work done"", ""to get paid minimum wage"", ""be laid off""]","[""rich"", ""happy"", ""unhappy"", ""sad"", ""deprived"", ""less powerful than others""]","[""save the money"", ""spend the money"", ""to get work done"", ""to budget money"", ""get a new job""]",tst,PersonX has a lot of money,by no means,multi_word
PersonX seldomly gets it right,"[""none""]","[""none""]","[""none""]","[""ignorant"", ""aloof"", ""incompetent"", ""a contrarian""]","[""to go to work well"", ""none"", ""thinks smart people are douches"", ""stresses that he won't pass a test""]","[""none""]","[""plan to meet a person"", ""none"", ""doesn't take time to think"", ""rushes through work""]","[""sad"", ""unhappy"", ""like a failure"", ""upset"", ""silly"", ""stupid""]","[""plan to meet a person"", ""make fun"", ""to give up"", ""to go home"", ""to pay more attention"", ""learn from mistakes""]",tst,PersonX gets it right,seldomly,single_word
PersonX has problem with driving anyway,"[""none""]","[""none""]","[""none""]","[""undecided"", ""hesitant"", ""amaxophobic"", ""car-hater""]","[""get a work done"", ""none"", ""walks"", ""takes a bus""]","[""to get spomewhere"", ""to go to store"", ""none""]","[""get a license"", ""have a car"", ""none""]","[""relieved"", ""thankful"", ""stupid"", ""untalented"", ""frustrated"", ""annoyed""]","[""to drive"", ""to go somewhere"", ""to walk"", ""to take the bus"", ""get help"", ""find a driving tutor""]",tst,PersonX drives anyway,have problem with,multi_word
PersonX is under no circumstances offered the job,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""Insufficient"", ""Inadequate"", ""Undeserving"", ""not capable"", ""not qualified""]","[""get a work done"", ""none"", ""looks for a different job"", ""becomes upset"", ""sends out resumes""]","[""none""]","[""none"", ""apply for a job"", ""inquire about a job opening"", ""to intelligent"", ""to be experienced""]","[""worried"", ""sad"", ""shocked"", ""disappointed"", ""irritated""]","[""to apply for other jobs"", ""to be worried"", ""update resume"", ""apply to jobs elsewhere"", ""to make more profit"", ""to make more money""]",tst,PersonX is offered the job,under no circumstances,multi_word
PersonX under no circumstances looks like new,"[""none"", ""get a work done""]","[""none""]","[""none""]","[""old"", ""seasoned"", ""broken in"", ""worn""]","[""none"", ""goes for a makeover"", ""finds a new look""]","[""none""]","[""to be wearing old clothes"", ""to be tired"", ""none""]","[""old"", ""ugly"", ""satisfied"", ""happy"", ""run down"", ""tired"", ""weary""]","[""to put on new clothes"", ""to get a haircut"", ""to put on makeup"", ""to rebrand themselves"", ""to refresh them"", ""to be old"", ""look rugged""]",tst,PersonX looks like new,under no circumstances,multi_word
PersonX scarcely enters PersonX's car,"[""get a money"", ""none""]","[""none""]","[""none""]","[""shy"", ""timid"", ""worried"", ""freaked-out""]","[""get a money"", ""none"", ""rides a bike to work"", ""walks to the store""]","[""to save money on gas"", ""to be safe"", ""none"", ""to walk more"", ""to be green"", ""to save gas money""]","[""to have one"", ""to not use it"", ""to own a car"", ""to not care for personx's car"", ""none""]","[""safe"", ""frugal"", ""scared"", ""afraid"", ""Happy"", ""Caring"", ""Frugal"", ""Green""]","[""to think about selling it"", ""to take the bus"", ""to sell personx's car"", ""to get a bike"", ""to avoid the space"", ""to go quickly""]",tst,PersonX enters PersonX's car,scarcely,single_word
PersonX by no means breaks up with PersonY,"[""none"", ""cry uncontrollably"", ""get sick""]","[""none"", ""appreciated"", ""desired""]","[""to sleep"", ""to wor"", ""to stay with PersonX"", ""to have a better relationship"", ""none""]","[""loving"", ""understanding"", ""codependent"", ""addicted""]","[""none"", ""gets proposed to"", ""gets kissed"", ""cry"", ""think about new love interest""]","[""plan for work"", ""meet a person"", ""stay together"", ""not be single"", ""to remain with them"", ""to continue the relationship""]","[""to get work done"", ""to be dating PersonY"", ""to have had some issues with PersonY"", ""none""]","[""make friend"", ""to work"", ""in love"", ""content"", ""committed"", ""dedicated""]","[""to get work doneto get work done"", ""to get work done"", ""to get PersonY to work on their problems together"", ""to stay with PersonY"", ""love personY"", ""hug personY""]",tst,PersonX breaks up with PersonY,by no means,multi_word
PersonX not by any means moves past PersonY,"[""plan for a meeting"", ""none""]","[""none"", ""in charge"", ""dominant""]","[""none""]","[""slow"", ""steady"", ""respectful"", ""patient""]","[""plan for a meeting"", ""none"", ""Stays in place"", ""Becomes agrivated""]","[""none"", ""PersonY to continue leading"", ""not have have to take charge""]","[""none""]","[""tired"", ""sick"", ""annoyed"", ""sad"", ""like a follower"", ""they don't want the responsibility""]","[""to be cautious"", ""to avoid being seen"", ""to stay where they are"", ""to find a new path"", ""to stay in place"", ""to keep steady""]",tst,PersonX moves past PersonY,not by any means,multi_word
PersonX refuses to give a presentation,"[""to refuse"", ""made good"", ""none"", ""frowns"", ""sighs""]","[""none"", ""discontent"", ""unappreciative""]","[""none""]","[""unsharing"", ""stubborn"", ""obstinate""]","[""get a work done"", ""none"", ""reprimanded"", ""fired""]","[""none"", ""to not give a presentation"", ""to not speak in front of others"", ""to make a point"", ""to create a stir""]","[""none""]","[""scared"", ""afraid"", ""shy"", ""unconfident"", ""rebellious"", ""oppositional"", ""justified""]","[""to have other group members present"", ""to not say anything"", ""shy"", ""nervous"", ""to drop the class"", ""to find a job working alone""]",tst,PersonX gives a presentation,refuse,verb
PersonX on no condition owns a dog,"[""none""]","[""none""]","[""none""]","[""cat-lover"", ""allergic"", ""lonely"", ""isolated""]","[""thinks of what kind of dog to get"", ""goes to store"", ""lacks friend"", ""cries"", ""thinks cats are better"", ""stresses that his dog friends will hate him""]","[""none""]","[""none""]","[""unhomely"", ""lonely"", ""loving"", ""caring"", ""responsible""]","[""to own a cat"", ""to own a hamster instead"", ""to adopt a cat"", ""to adopt a dog"", ""finds a dog"", ""buys a dog""]",tst,PersonX owns a dog,on no condition,multi_word
PersonX scarcely begins crying,"[""none""]","[""none""]","[""none""]","[""unemotional"", ""stoic"", ""poised"", ""even-tempered""]","[""finds they don't care that much"", ""becomes relieved that it is over"", ""none"", ""is asked what is wrong"", ""is comforted""]","[""none""]","[""none"", ""to be calmed"", ""to not have emotions"", ""be upset by something"", ""cry some""]","[""sad"", ""emotional"", ""brave"", ""tough"", ""restrained""]","[""to laugh"", ""to be silent"", ""to have more empathy"", ""to be more open"", ""avoid showing emotions"", ""remain calm""]",tst,PersonX begins crying,scarcely,single_word
PersonX is under no circumstances at the bar with friends,"[""none""]","[""none""]","[""tell personX to come out"", ""make plans for another night"", ""none""]","[""antisocial"", ""sober"", ""focused"", ""lonely""]","[""get a work done"", ""none""]","[""none"", ""be at home"", ""be alone"", ""to be unsocial"", ""to stay at home""]","[""avoid going to the bar"", ""decline an invitation"", ""to stay home"", ""to not want to go out"", ""to not have any friends"", ""go to bar alone""]","[""alone"", ""drunk"", ""lonely"", ""bored"", ""contented"", ""calm""]","[""avoid trouble"", ""save money"", ""to make excuses"", ""to apologize"", ""to make new friends"", ""be more sociable""]",tst,PersonX is at the bar with friends,under no circumstances,multi_word
PersonX has trouble with cleaning PersonY's bedroom,"[""to rest"", ""make fun"", ""none""]","[""annoyed"", ""confused"", ""unhelped"", ""forgiving"", ""justified"", ""correct""]","[""none"", ""to clean persony's room alone"", ""to be more responsible"", ""to find a new cleaner"", ""to fire personX""]","[""determined"", ""helpless"", ""reluctant"", ""weary""]","[""get a work done"", ""none"", ""muscle sore"", ""gets dirty""]","[""none""]","[""none"", ""to not care about persony"", ""to be selfish""]","[""untalented"", ""worried"", ""useless"", ""unhelpful"", ""put upon"", ""discriminated against""]","[""to teach Y a lesson"", ""to leave the room messy"", ""to improve personx cleaning skills"", ""to be more open about not wanting to clean persony's bedroom"", ""to get help"", ""to leave immediately""]",tst,PersonX cleans PersonY's bedroom,have trouble with,multi_word
PersonX under no circumstances loves the experience,"[""none""]","[""none""]","[""none""]","[""bored"", ""sad"", ""Ungrateful"", ""Displeased""]","[""thinks about better experiences"", ""stresses over whether he may have to do the experience again"", ""get a work done"", ""none""]","[""none""]","[""go to the where the experience is happening"", ""experience the experience"", ""none""]","[""bored"", ""sad"", ""restless""]","[""leave the experience"", ""not remember the experience"", ""to get work done"", ""to do something new"", ""Stop doing this""]",tst,PersonX loves the experience,under no circumstances,multi_word
PersonX by no means unbuckles PersonY's belt,"[""get a work doneget a work done"", ""get a work done"", ""none"", ""asks someone else for help"", ""tries to unbuckle it on their own""]","[""none"", ""safe"", ""grateful"", ""unsupported"", ""dismissed""]","[""none""]","[""caring"", ""careful"", ""respectful"", ""humane""]","[""none""]","[""none"", ""TO KEEP PERSON Y SAFE"", ""to show concern"", ""to avoid interference"", ""to keep to themselves""]","[""none"", ""to be driving"", ""far away from Y""]","[""concerned"", ""protective"", ""helpful"", ""satisfied"", ""aloof"", ""distanced""]","[""to let them do it"", ""to make love to them"", ""to go home"", ""get to Y""]",tst,PersonX unbuckles PersonY's belt,by no means,multi_word
PersonX has no dinner parties,"[""get a work done"", ""to rest"", ""none""]","[""none""]","[""none""]","[""reclusive"", ""lonely"", ""unsocial""]","[""get a work done"", ""none"", ""does not meet new people"", ""is at home alone""]","[""none"", ""to invite over friends"", ""to go out to eat""]","[""to have no friends"", ""to be shy"", ""none""]","[""sad"", ""lonely"", ""relieved"", ""happy""]","[""to learn how to cook"", ""make more friends"", ""to be by themselves"", ""to keep people out of their house"", ""to go out to eat"", ""to find someone to cook for them""]",tst,PersonX has a dinner party,no,single_word
PersonX is not by any means at the bar with friends,"[""plan for a meeting"", ""to play"", ""none""]","[""none"", ""disappointed by PersonX's absence"", ""understanding of why PersonX didn't want to come""]","[""none"", ""receive an explanation"", ""make plans for another night""]","[""lonely"", ""solitary"", ""lonesome""]","[""plan for a meeting"", ""gets free drinks"", ""gets talked to"", ""orders a drink"", ""goes home""]","[""none"", ""to stay home and study"", ""to quarantine themself""]","[""head to bar alone"", ""not have many friends"", ""none"", ""stay home"", ""decline an invitation""]","[""lonely"", ""sad"", ""disgruntled""]","[""to meet new people"", ""make new friends"", ""to find directions to the bar"", ""to go to the bar"", ""rest at home"", ""spend time alone""]",tst,PersonX is at the bar with friends,not by any means,multi_word
PersonX refuses to announce PersonY's decision,"[""none"", ""get a work done""]","[""none"", ""pleased"", ""confident"", ""upset"", ""dissatisfied""]","[""none"", ""ask why PersonX is refusing to announce the decision"", ""find someone else to announce the decision"", ""find some other way to spread the decision""]","[""self-contained"", ""resistant"", ""unhelpful"", ""uncaring""]","[""none"", ""get a work done""]","[""none"", ""to let them think more"", ""to avoid telling about it"", ""to stay aloof"", ""to remain independent""]","[""none"", ""learn of PersonY's decision"", ""be asked by PersonY to announce decision""]","[""disinterested"", ""unconcerned"", ""indecisive"", ""unsure"", ""justified"", ""warranted""]","[""PersonY to make the announcement"", ""to not be a part of that"", ""tell PersonY why he is refusing to announce it"", ""to arrange the meeting"", ""to feel more alternative""]",tst,PersonX announces PersonY's decision,refuse,verb
PersonX not by any means gets the shot,"[""none"", ""does not give the shot"", ""does not check health of PersonX""]","[""none""]","[""none""]","[""Left out"", ""Invisible"", ""unathletic"", ""lacking in motivation""]","[""none"", ""plan for a meeting"", ""does not feel the pain"", ""does not see the doctor""]","[""none"", ""to avoid autism"", ""to avoid needles""]","[""none"", ""doesn't like doctors"", ""doesn't believe in vaccines""]","[""safe"", ""relieved"", ""disappointed"", ""inadequate""]","[""to find a chance"", ""to take the chance"", ""stay away from hospital"", ""to not get sick"", ""to ask others to have an opportunity"", ""to find out why they always get the short end of the stick""]",tst,PersonX gets the shot,not by any means,multi_word
PersonX not by any means rains on PersonX's parade,"[""none""]","[""none""]","[""none""]","[""Respectful"", ""Kind"", ""Understanding"", ""optimist"", ""enthusiastic"", ""celebratory"", ""self-satisfied""]","[""none"", ""is smug"", ""is proud""]","[""none"", ""to be happy"", ""to congratuate themself""]","[""be celebrating"", ""decide not to spoil it"", ""none""]","[""understanding"", ""supportive"", ""excited"", ""proud""]","[""celebrate"", ""avoid getting upset"", ""Rain on it"", ""Ryin it"", ""to support others and themselves"", ""to remember to be nice to themselves""]",tst,PersonX rains on PersonX's parade,not by any means,multi_word
PersonX is deprived of a wonderful time on PersonX's trip,"[""take trip"", ""make frienda"", ""none""]","[""none""]","[""none"", ""to apologize to PersonX"", ""try to come up with a satisfactory settlement""]","[""hard to please"", ""a worrier"", ""unsatisfied"", ""unhappy""]","[""plan to get a work"", ""none"", ""cry"", ""leave""]","[""none""]","[""none"", ""to get their money back from the tour group"", ""make a complaint about the tour group"", ""to go on a vacation"", ""to have a good time""]","[""sad"", ""unhappy"", ""annoyed"", ""bored"", ""resentful""]","[""a refund on the trip"", ""to go home"", ""to never use this travel agency again"", ""to make sure everyone knows about this"", ""to go on more trips"", ""to stay""]",tst,PersonX has a wonderful time on PersonX's trip,is deprived of,multi_word
PersonX is deprived of a new car,"[""none""]","[""none"", ""personX doesn't deserve a new car"", ""superior to personX""]","[""none""]","[""impoverished"", ""destitute"", ""frustrated"", ""depressed""]","[""walks to work"", ""buys a bicycle"", ""plan for a meeting"", ""looks for another car"", ""saves money""]","[""none"", ""a used vehicle"", ""to go to a car lot""]","[""to look at vehicles"", ""to go to a dealership"", ""to want a new car"", ""to lose his already owned new car"", ""to be low on cash"", ""loses job""]","[""sad"", ""unhappy"", ""disappointed"", ""frustrated"", ""upset"", ""bad""]","[""to shop around"", ""to save up more money"", ""to get a new car"", ""get upset or discouraged"", ""to find a new job"", ""to save more money""]",tst,PersonX has a new car,is deprived of,multi_word
PersonX no longer drives straight,"[""none"", ""to go"", ""straight drive""]","[""nervous"", ""scared"", ""none""]","[""none""]","[""dizzy"", ""unfocused"", ""intoxicated"", ""drunk""]","[""none"", ""plan for a meeting"", ""gets pulled over"", ""is told to drive straight""]","[""to turn"", ""to have fun"", ""none"", ""Had to many drinks"", ""Sweved to miss animal""]","[""new eye glasses"", ""new contact lenses"", ""none"", ""drive straight"", ""start driving crooked""]","[""nervous"", ""excited"", ""drunk"", ""unconcerned"", ""Worried"", ""Relived""]","[""to go to eye specialist"", ""get new eye glasses"", ""to avoid getting into car crash"", ""to follow the windy path"", ""drive straighter"", ""let someone else drive""]",tst,PersonX drives straight,no longer,multi_word
PersonX refuses to help PersonY stay awake,"[""falls asleep"", ""snores"", ""dreams"", ""missed match"", ""tries to stay up"", ""needs help staying up""]","[""none"", ""irritated that PersonX won't help"", ""hurt""]","[""ask for an explanation"", ""find someone else to help"", ""none"", ""shout that they need help"", ""get something else to stay awake""]","[""uncaring"", ""negligent"", ""selfish"", ""worrisome""]","[""none"", ""goes to sleep"", ""gets rest""]","[""none"", ""PersonY to sleep"", ""to do their own thing""]","[""be talking to PersonY"", ""PersonY asked PersonX for help staying awake"", ""none""]","[""unhappy"", ""unsatisfied"", ""sleepy"", ""efortless"", ""irritated with PersonY"", ""exasperated with PersonY""]","[""justify the refusal since it's rude"", ""to stay asleep"", ""to rest"", ""leave person y"", ""say they are sorry"", ""take a nsp""]",tst,PersonX helps PersonY stay awake,refuse,verb
PersonX lacks trouble falling asleep,"[""get a work done"", ""best"", ""none""]","[""none""]","[""none""]","[""sleepy"", ""tired"", ""healthy"", ""dedicated to their schedule""]","[""none"", ""yawns"", ""eyes get heavy"", ""falls asleep easily"", ""wakes up feeling rested""]","[""none"", ""to get a healthy amount of rest"", ""to wake up refreshed""]","[""to finish their work early"", ""lead a healthy life"", ""to work long hours"", ""to get tired easily"", ""none""]","[""energized"", ""rested"", ""refreshed"", ""energetic"", ""happy""]","[""to get up early"", ""to get enough sleep"", ""to get adequate sleep"", ""to relax"", ""to take melatonin"", ""count sheep""]",tst,PersonX has trouble falling asleep,lack,single_word
PersonX barely increases PersonX's capacity,"[""none"", ""to go to work well"", ""to play""]","[""none""]","[""none""]","[""tiny"", ""dissatisfied"", ""inept"", ""weak""]","[""none"", ""to go to work well"", ""thinks his current capacity is fine"", ""stresses that he is not expanding himself enough""]","[""none""]","[""none"", ""to get work done"", ""to be lazy"", ""to be a poor worker""]","[""tired"", ""mean"", ""in power"", ""in control"", ""full"", ""sufficient""]","[""to keep pushing personx beyond personx's limits"", ""to try harder"", ""to get work done"", ""to intake"", ""works hard"", ""get a new job""]",tst,PersonX increases PersonX's capacity,barely,single_word
PersonX smells nothing,"[""none""]","[""none""]","[""none""]","[""incapable"", ""unable"", ""oblivious"", ""carefree""]","[""to go to work well"", ""takes allergy pills"", ""buys nasal spray"", ""becomes clean"", ""smiles""]","[""none""]","[""none""]","[""satisfied"", ""happy"", ""unbothered"", ""normal"", ""confused"", ""content""]","[""to take allergy pills"", ""use nasal spray"", ""to cook"", ""to get dressed"", ""to see a doctor"", ""to find help""]",tst,PersonX smells something,nothing,single_word
PersonX refuses to see PersonX's girlfriend,"[""thinks about why PersonX is not seeing them"", ""cries"", ""get a work done"", ""none""]","[""none"", ""angry at PErsonX"", ""happy to hang out with PersonX""]","[""to sleep"", ""to made"", ""none"", ""an explanation"", ""to know what is going on""]","[""reclusive"", ""shy"", ""destructive"", ""petty""]","[""thinks about PersonX's girlfriend's feelings"", ""thinks of excuses to give"", ""none"", ""loses connection"", ""gets scolded""]","[""to breakup"", ""fight"", ""none"", ""to avoid a fight"", ""to hang out with his friends""]","[""to get work done"", ""none"", ""to have a girlfriend"", ""to be away from girlfriend""]","[""lonely"", ""single"", ""mean"", ""selfish"", ""fearful"", ""excited""]","[""to get work done"", ""to call them"", ""to leave them"", ""to take a break"", ""to see other people""]",tst,PersonX sees PersonX's girlfriend,refuse,verb
PersonX stops throwing money away,"[""none""]","[""none""]","[""none""]","[""financially saavy"", ""smart"", ""thrifty"", ""prudent"", ""economical""]","[""plan to get a work"", ""enjoys greater wealth"", ""stresses less about bills"", ""puts money in bank"", ""has more money to spend""]","[""none"", ""to get more financially responsible"", ""to save money"", ""open a savings account"", ""go to the bank""]","[""to get work done"", ""to have money"", ""to be willing to throw money away"", ""to earn money""]","[""careful"", ""clever"", ""empowered"", ""disciplined"", ""happy to save"", ""excited""]","[""plan for meet"", ""to get work done"", ""to keep saving money"", ""to be aware of the dangers of not saving"", ""to start saving"", ""to start spending responsibly""]",tst,PersonX throws money away,stop,verb
