neg_event,event,split,neg_cue,neg_cue_type
PersonX has an unimportant meeting,PersonX has an important meeting,trn,unimportant,affixes_adj
PersonX lives a unhappy life,PersonX lives a happy life,trn,unhappy,affixes_adj
PersonX is really unhappy,PersonX is really happy,trn,unhappy,affixes_adj
PersonX asks what PersonY unwanted,PersonX asks what PersonY wanted,trn,unwanted,affixes_adj
PersonX gets nonpregnant,PersonX gets pregnant,trn,nonpregnant,affixes_adj
PersonX feels less confident,PersonX feels more confident,trn,less,affixes_adj
PersonX is imperfect for PersonY,PersonX is perfect for PersonY,trn,imperfect,affixes_adj
PersonX gives PersonY a unwelcome,PersonX gives PersonY a welcome,trn,unwelcome,affixes_adj
PersonX is unafraid of snakes,PersonX is afraid of snakes,trn,unafraid,affixes_adj
PersonX feels unlike going,PersonX feels like going,trn,unlike,affixes_adj
PersonX knows what PersonY unwanted,PersonX knows what PersonY wanted,trn,unwanted,affixes_adj
PersonX is self unconscious,PersonX is self conscious,trn,unconscious,affixes_adj
PersonX makes PersonY unhappy,PersonX makes PersonY happy,trn,unhappy,affixes_adj
PersonX really unwanted it,PersonX really wanted it,trn,unwanted,affixes_adj
PersonX is beyond unexcited,PersonX is beyond excited,trn,unexcited,affixes_adj
PersonX wishes PersonY a unhappy birthday,PersonX wishes PersonY a happy birthday,trn,unhappy,affixes_adj
PersonX spends less money,PersonX spends more money,trn,less,affixes_adj
PersonX smells unlike PersonY,PersonX smells like PersonY,trn,unlike,affixes_adj
PersonX is a unprofessional dancer,PersonX is a professional dancer,trn,unprofessional,affixes_adj
PersonX is super unhappy,PersonX is super happy,trn,unhappy,affixes_adj
PersonX gets really unexcited,PersonX gets really excited,trn,unexcited,affixes_adj
PersonX feels unhealthy,PersonX feels healthy,trn,unhealthy,affixes_adj
PersonX plays unprofessional baseball,PersonX plays professional baseball,trn,unprofessional,affixes_adj
PersonX has unmade a mistake,PersonX has made a mistake,trn,unmade,affixes_verb
PersonX looks imperfect,PersonX looks perfect,trn,imperfect,affixes_adj
PersonX learns a worthless lesson,PersonX learns a valuable lesson,trn,worthless,affixes_adj
PersonX is uncontrolled by PersonY's subconscious,PersonX is controlled by PersonY's subconscious,trn,uncontrolled,affixes_adj
PersonX keeps PersonX's nose unclean,PersonX keeps PersonX's nose clean,trn,unclean,affixes_adj
PersonX plays nonclassical music,PersonX plays classical music,trn,nonclassical,affixes_adj
PersonX is unable to go,PersonX is able to go,trn,unable,affixes_adj
PersonX feels so unhappy,PersonX feels so happy,trn,unhappy,affixes_adj
PersonX has always unwanted to see PersonY,PersonX has always wanted to see PersonY,trn,unwanted,affixes_adj
PersonX finds the imperfect tree,PersonX finds the perfect tree,trn,imperfect,affixes_adj
PersonX is unhappy with the results,PersonX is happy with the results,trn,unhappy,affixes_adj
PersonX eats unhealthy,PersonX eats healthy,trn,unhealthy,affixes_adj
PersonX feels unprepared,PersonX feels prepared,trn,unprepared,affixes_adj
PersonX is unafraid of clowns,PersonX is afraid of clowns,trn,unafraid,affixes_adj
PersonX likes PersonY less,PersonX likes PersonY more,trn,less,affixes_adj
PersonX has always unwanted to visit PersonY,PersonX has always wanted to visit PersonY,trn,unwanted,affixes_verb
PersonX gets unstuck,PersonX gets stuck,trn,unstuck,affixes_adj
PersonX pretends to unlike it,PersonX pretends to like it,trn,unlike,affixes_adj
PersonX gets unpopular,PersonX gets popular,trn,unpopular,affixes_adj
PersonX is unready to eat,PersonX is ready to eat,trn,unready,affixes_adj
PersonX gets very unexcited,PersonX gets very excited,trn,unexcited,affixes_adj
PersonX is unready to leave,PersonX is ready to leave,trn,unready,affixes_adj
PersonX is unafraid of heights,PersonX is afraid of heights,trn,unafraid,affixes_adj
PersonX keeps PersonY unhappy,PersonX keeps PersonY happy,trn,unhappy,affixes_adj
PersonX gets unpaid,PersonX gets paid,trn,unpaid,affixes_adj
PersonX is unangry at PersonY's brother,PersonX is angry at PersonY's brother,trn,unangry,affixes_adj
PersonX plays unprofessional basketball,PersonX plays professional basketball,trn,unprofessional,affixes_adj
PersonX really unwanted a new car,PersonX really wanted a new car,trn,unwanted,affixes_adj
PersonX learns that PersonY was nonpregnant,PersonX learns that PersonY was pregnant,trn,nonpregnant,affixes_adj
PersonX spends less time with PersonY,PersonX spends more time with PersonY,trn,less,affixes_adj
PersonX is unkind to PersonY,PersonX is kind to PersonY,trn,unkind,affixes_adj
PersonX finally found the imperfect one,PersonX finally found the perfect one,trn,imperfect,affixes_adj
PersonX is unable to escape,PersonX is able to escape,trn,unable,affixes_adj
PersonX becomes unpopular,PersonX becomes popular,trn,unpopular,affixes_adj
PersonX feels irresponsible,PersonX feels responsible,trn,irresponsible,affixes_adj
PersonX eats unhealthy foods,PersonX eats healthy foods,trn,unhealthy,affixes_adj
PersonX gets uncomfortable,PersonX gets comfortable,trn,uncomfortable,affixes_adj
PersonX knows PersonY was unready,PersonX knows PersonY was ready,trn,unready,affixes_adj
PersonX becomes unaware,PersonX becomes aware,trn,unaware,affixes_adj
PersonX eats less vegetables,PersonX eats more vegetables,trn,less,affixes_adj
PersonX keeps PersonY unoccupied,PersonX keeps PersonY occupied,trn,unoccupied,affixes_adj
PersonX is unable to go home,PersonX is able to go home,trn,unable,affixes_adj
PersonX thinks PersonY was unready,PersonX thinks PersonY was ready,trn,unready,affixes_adj
PersonX feels unfree,PersonX feels free,trn,unfree,affixes_adj
PersonX feels unlike an adult,PersonX feels like an adult,trn,unlike,affixes_adj
PersonX makes PersonY very unangry,PersonX makes PersonY very angry,trn,unangry,affixes_adj
PersonX feels unafraid,PersonX feels afraid,trn,unafraid,affixes_adj
PersonX gets unangry with PersonY,PersonX gets angry with PersonY,trn,unangry,affixes_adj
PersonX tells PersonY to be unquiet,PersonX tells PersonY to be quiet,trn,unquiet,affixes_adj
PersonX really unloved PersonY,PersonX really loved PersonY,trn,unloved,affixes_adj
PersonX is a unpublished author,PersonX is a published author,trn,unpublished,affixes_adj
PersonX is unable to drive,PersonX is able to drive,trn,unable,affixes_adj
PersonX becomes unsuccessful,PersonX becomes successful,trn,unsuccessful,affixes_adj
PersonX is unhappy with PersonX's purchase,PersonX is happy with PersonX's purchase,trn,unhappy,affixes_adj
PersonX is quite unsurprised,PersonX is quite surprised,trn,unsurprised,affixes_adj
PersonX is unexcited to go,PersonX is excited to go,trn,unexcited,affixes_adj
PersonX feels unexhausted,PersonX feels exhausted,trn,unexhausted,affixes_adj
PersonX starts exercising less,PersonX starts exercising more,trn,less,affixes_adj
PersonX makes PersonY unpopular,PersonX makes PersonY popular,trn,unpopular,affixes_adj
PersonX spends less time,PersonX spends more time,trn,less,affixes_adj
PersonX gets really unangry,PersonX gets really angry,trn,unangry,affixes_adj
PersonX wants to make less money,PersonX wants to make more money,trn,less,affixes_adj
PersonX makes PersonY unangry,PersonX makes PersonY angry,trn,unangry,affixes_adj
PersonX gets unquiet,PersonX gets quiet,trn,unquiet,affixes_adj
PersonX becomes very unsuccessful,PersonX becomes very successful,trn,unsuccessful,affixes_adj
PersonX is quite unexcited,PersonX is quite excited,trn,unexcited,affixes_adj
PersonX is unangry at PersonX's brother,PersonX is angry at PersonX's brother,trn,unangry,affixes_adj
PersonX is unafraid it would hurt,PersonX is afraid it would hurt,trn,unafraid,affixes_adj
PersonX looks very unhappy,PersonX looks very happy,trn,unhappy,affixes_adj
PersonX finds out PersonY was nonpregnant,PersonX finds out PersonY was pregnant,trn,nonpregnant,affixes_adj
PersonX is unafraid of water,PersonX is afraid of water,trn,unafraid,affixes_adj
PersonX wants nothing less,PersonX wants nothing more,trn,less,affixes_adj
PersonX shines unlike the sun,PersonX shines like the sun,trn,unlike,affixes_adj
PersonX gets a unreal job,PersonX gets a real job,trn,unreal,affixes_adj
PersonX is unhappy with PersonX's decision,PersonX is happy with PersonX's decision,trn,unhappy,affixes_adj
PersonX feels unlike a man,PersonX feels like a man,trn,unlike,affixes_adj
PersonX gets less money,PersonX gets more money,trn,less,affixes_adj
PersonX is unready to give up,PersonX is ready to give up,trn,unready,affixes_adj
PersonX has a unbroken leg,PersonX has a broken leg,trn,unbroken,affixes_adj
PersonX really unwanted to go,PersonX really wanted to go,trn,unwanted,affixes_adj
PersonX does whatever PersonY unwanted,PersonX does whatever PersonY wanted,trn,unwanted,affixes_adj
PersonX makes PersonY unhappy again,PersonX makes PersonY happy again,trn,unhappy,affixes_adj
PersonX is unafraid of dogs,PersonX is afraid of dogs,trn,unafraid,affixes_adj
PersonX is unhappy with PersonY's decision,PersonX is happy with PersonY's decision,trn,unhappy,affixes_adj
PersonX is unkind to PersonX,PersonX is kind to PersonX,trn,unkind,affixes_adj
PersonX makes less money,PersonX makes more money,trn,less,affixes_adj
PersonX gets unhealthy,PersonX gets healthy,trn,unhealthy,affixes_adj
PersonX becomes unconcerned,PersonX becomes concerned,trn,unconcerned,affixes_adj
PersonX becomes very unangry,PersonX becomes very angry,trn,unangry,affixes_adj
PersonX becomes very unpopular,PersonX becomes very popular,trn,unpopular,affixes_adj
PersonX is unexcited to see PersonY,PersonX is excited to see PersonY,trn,unexcited,affixes_adj
PersonX gets uncertified,PersonX gets certified,trn,uncertified,affixes_adj
PersonX thinks it was uninteresting,PersonX thinks it was interesting,trn,uninteresting,affixes_adj
PersonX is unafraid of PersonY,PersonX is afraid of PersonY,trn,unafraid,affixes_adj
PersonX seems unfriendly,PersonX seems friendly,trn,unfriendly,affixes_adj
PersonX is unready to play,PersonX is ready to play,trn,unready,affixes_adj
PersonX eats something unhealthy,PersonX eats something healthy,trn,unhealthy,affixes_adj
PersonX cries unlike a baby,PersonX cries like a baby,trn,unlike,affixes_adj
PersonX is unafraid of spiders,PersonX is afraid of spiders,trn,unafraid,affixes_adj
PersonX gets uncreative,PersonX gets creative,trn,uncreative,affixes_adj
PersonX feels unadventurous,PersonX feels adventurous,trn,unadventurous,affixes_adj
PersonX gets unlucky,PersonX gets lucky,trn,unlucky,affixes_adj
PersonX is uneager to try it,PersonX is eager to try it,trn,uneager,affixes_adj
PersonX is unlucky to be alive,PersonX is lucky to be alive,trn,unlucky,affixes_adj
PersonX is very unkind to PersonY,PersonX is very kind to PersonY,trn,unkind,affixes_adj
PersonX gets what PersonY unwanted,PersonX gets what PersonY wanted,trn,unwanted,affixes_adj
PersonX becomes a unprofessional gamer,PersonX becomes a professional gamer,trn,unprofessional,affixes_adj
PersonX avoids making a long story short,PersonX makes a long story short,trn,avoid,verb
PersonX avoids calling by PersonY's name,PersonX calls by PersonY's name,trn,avoid,verb
PersonX avoids turning PersonY around,PersonX turns PersonY around,trn,avoid,verb
PersonX avoids wanting to leave PersonY,PersonX wants to leave PersonY,trn,avoid,verb
PersonX avoids fitting PersonY well,PersonX fits PersonY well,trn,avoid,verb
PersonX avoids playing football again,PersonX plays football again,trn,avoid,verb
PersonX avoids risking PersonY's life,PersonX risks PersonY's life,trn,avoid,verb
PersonX avoids listening to PersonY talk,PersonX listens to PersonY talk,trn,avoid,verb
PersonX avoids apologizing to PersonX's boss,PersonX apologizes to PersonX's boss,trn,avoid,verb
PersonX avoids putting PersonY in the car,PersonX puts PersonY in the car,trn,avoid,verb
PersonX avoids launching PersonY attack,PersonX launches PersonY attack,trn,avoid,verb
PersonX avoids naming the baby,PersonX names the baby,trn,avoid,verb
PersonX avoids kissing PersonY's back,PersonX kisses PersonY's back,trn,avoid,verb
PersonX avoids finding a date,PersonX finds a date,trn,avoid,verb
PersonX avoids having the last laugh,PersonX has the last laugh,trn,avoid,verb
PersonX avoids returning PersonY's phone,PersonX returns PersonY's phone,trn,avoid,verb
PersonX avoids proposing to PersonY's girlfriend,PersonX proposes to PersonY's girlfriend,trn,avoid,verb
PersonX avoids visiting some friends,PersonX visits some friends,trn,avoid,verb
PersonX avoids asking PersonY for a date,PersonX asks PersonY for a date,trn,avoid,verb
PersonX avoids increasing PersonY's profits,PersonX increases PersonY's profits,trn,avoid,verb
PersonX avoids keeping PersonY word,PersonX keeps PersonY word,trn,avoid,verb
PersonX avoids giving PersonY power,PersonX gives PersonY power,trn,avoid,verb
PersonX avoids giving a speech,PersonX gives a speech,trn,avoid,verb
PersonX avoids packing up PersonY's stuff,PersonX packs up PersonY's stuff,trn,avoid,verb
PersonX avoids feeling PersonY's hand,PersonX feels PersonY's hand,trn,avoid,verb
PersonX avoids releasing PersonY's hand,PersonX releases PersonY's hand,trn,avoid,verb
PersonX avoids loading PersonY's car,PersonX loads PersonY's car,trn,avoid,verb
PersonX avoids impressing PersonY's date,PersonX impresses PersonY's date,trn,avoid,verb
PersonX avoids starting talking to PersonY,PersonX starts talking to PersonY,trn,avoid,verb
PersonX avoids placing PersonY's hand,PersonX places PersonY's hand,trn,avoid,verb
PersonX avoids wanting to get married,PersonX wants to get married,trn,avoid,verb
PersonX avoids getting PersonX's medicine,PersonX gets PersonX's medicine,trn,avoid,verb
PersonX avoids bringing PersonY to tears,PersonX brings PersonY to tears,trn,avoid,verb
PersonX avoids forgiving PersonX's friend,PersonX forgives PersonX's friend,trn,avoid,verb
PersonX avoids buying a cake,PersonX buys a cake,trn,avoid,verb
PersonX avoids offering PersonY the job,PersonX offers PersonY the job,trn,avoid,verb
PersonX avoids begging PersonY's mom,PersonX begs PersonY's mom,trn,avoid,verb
PersonX avoids hitting the target,PersonX hits the target,trn,avoid,verb
PersonX avoids reading aloud to PersonY,PersonX reads aloud to PersonY,trn,avoid,verb
PersonX avoids taking time off,PersonX takes time off,trn,avoid,verb
PersonX avoids seizing PersonY's hand,PersonX seizes PersonY's hand,trn,avoid,verb
PersonX avoids moving back home,PersonX moves back home,trn,avoid,verb
PersonX avoids giving PersonY space,PersonX gives PersonY space,trn,avoid,verb
PersonX avoids playing monopoly,PersonX plays monopoly,trn,avoid,verb
PersonX avoids grabbing PersonY's head,PersonX grabs PersonY's head,trn,avoid,verb
PersonX avoids pressing PersonY's mouth,PersonX presses PersonY's mouth,trn,avoid,verb
PersonX avoids hurting PersonY much,PersonX hurts PersonY much,trn,avoid,verb
PersonX avoids killing PersonY animal,PersonX kills PersonY animal,trn,avoid,verb
PersonX avoids calling the police for help,PersonX calls the police for help,trn,avoid,verb
PersonX avoids kissing PersonY quickly,PersonX kisses PersonY quickly,trn,avoid,verb
PersonX avoids going a long way,PersonX goes a long way,trn,avoid,verb
PersonX avoids showing PersonX's cards,PersonX shows PersonX's cards,trn,avoid,verb
PersonX avoids breaking PersonY's mother's favorite vase,PersonX breaks PersonY's mother's favorite vase,trn,avoid,verb
PersonX avoids becoming a writer,PersonX becomes a writer,trn,avoid,verb
PersonX avoids asking PersonY to accompany,PersonX asks PersonY to accompany,trn,avoid,verb
PersonX avoids enrolling PersonY,PersonX enrolls PersonY,trn,avoid,verb
PersonX avoids becoming PersonY obsession,PersonX becomes PersonY obsession,trn,avoid,verb
PersonX avoids removing PersonY's fingers,PersonX removes PersonY's fingers,trn,avoid,verb
PersonX avoids messing with PersonY,PersonX messes with PersonY,trn,avoid,verb
PersonX avoids giving PersonY freedom,PersonX gives PersonY freedom,trn,avoid,verb
PersonX avoids seeing PersonY in years,PersonX sees PersonY in years,trn,avoid,verb
PersonX avoids making PersonX's rounds,PersonX makes PersonX's rounds,trn,avoid,verb
PersonX avoids keeping PersonX's eye on the ball,PersonX keeps PersonX's eye on the ball,trn,avoid,verb
PersonX avoids building PersonY's house,PersonX builds PersonY's house,trn,avoid,verb
PersonX avoids shaveing PersonY's face,PersonX shaves PersonY's face,trn,avoid,verb
PersonX avoids baking a cake for PersonY,PersonX bakes a cake for PersonY,trn,avoid,verb
PersonX avoids giving PersonY a wink,PersonX gives PersonY a wink,trn,avoid,verb
PersonX avoids cleaning PersonY's car,PersonX cleans PersonY's car,trn,avoid,verb
PersonX avoids coming under PersonY's observation,PersonX comes under PersonY's observation,trn,avoid,verb
PersonX avoids playing cards,PersonX plays cards,trn,avoid,verb
PersonX avoids getting along with others,PersonX gets along with others,trn,avoid,verb
PersonX avoids looking very happy,PersonX looks very happy,trn,avoid,verb
PersonX barely serves PersonY right,PersonX serves PersonY right,trn,barely,single_word
PersonX barely does PersonY's hair and makeup,PersonX does PersonY's hair and makeup,trn,barely,single_word
PersonX barely hangs out with PersonY,PersonX hangs out with PersonY,trn,barely,single_word
PersonX barely rids PersonY's bikes,PersonX rids PersonY's bikes,trn,barely,single_word
PersonX barely packs PersonY's lunch,PersonX packs PersonY's lunch,trn,barely,single_word
PersonX barely helps PersonY find it,PersonX helps PersonY find it,trn,barely,single_word
PersonX barely follows the doctor's advice,PersonX follows the doctor's advice,trn,barely,single_word
PersonX barely gazes into PersonY's eyes,PersonX gazes into PersonY's eyes,trn,barely,single_word
PersonX barely tells PersonY made,PersonX tells PersonY made,trn,barely,single_word
PersonX barely plays professional basketball,PersonX plays professional basketball,trn,barely,single_word
PersonX barely meets PersonY's mom,PersonX meets PersonY's mom,trn,barely,single_word
PersonX barely becomes best friends,PersonX becomes best friends,trn,barely,single_word
PersonX barely does something nice for PersonY,PersonX does something nice for PersonY,trn,barely,single_word
PersonX barely calls PersonY later,PersonX calls PersonY later,trn,barely,single_word
PersonX barely brings PersonY's daughter,PersonX brings PersonY's daughter,trn,barely,single_word
PersonX barely holds the ring,PersonX holds the ring,trn,barely,single_word
PersonX barely keeps PersonY from falling,PersonX keeps PersonY from falling,trn,barely,single_word
PersonX barely urges PersonY forward,PersonX urges PersonY forward,trn,barely,single_word
PersonX barely finds PersonY a place,PersonX finds PersonY a place,trn,barely,single_word
PersonX barely crashes the car,PersonX crashes the car,trn,barely,single_word
PersonX barely loves PersonY in return,PersonX loves PersonY in return,trn,barely,single_word
PersonX barely buys a new television,PersonX buys a new television,trn,barely,single_word
PersonX barely helps many people,PersonX helps many people,trn,barely,single_word
PersonX barely settles PersonX's affairs,PersonX settles PersonX's affairs,trn,barely,single_word
PersonX barely takes PersonY to see,PersonX takes PersonY to see,trn,barely,single_word
PersonX barely writes PersonY a letter,PersonX writes PersonY a letter,trn,barely,single_word
PersonX barely hires a trainer,PersonX hires a trainer,trn,barely,single_word
PersonX barely takes PersonY inside,PersonX takes PersonY inside,trn,barely,single_word
PersonX barely puts PersonX's trust in PersonY,PersonX puts PersonX's trust in PersonY,trn,barely,single_word
PersonX barely makes PersonY choice,PersonX makes PersonY choice,trn,barely,single_word
PersonX barely begins to speak,PersonX begins to speak,trn,barely,single_word
PersonX barely gets PersonX's dream job,PersonX gets PersonX's dream job,trn,barely,single_word
PersonX barely gives PersonY a raise,PersonX gives PersonY a raise,trn,barely,single_word
PersonX barely plays games with PersonY,PersonX plays games with PersonY,trn,barely,single_word
PersonX barely stresses PersonY out,PersonX stresses PersonY out,trn,barely,single_word
PersonX barely sounds PersonY alarm,PersonX sounds PersonY alarm,trn,barely,single_word
PersonX barely shaves all of PersonX's hair off,PersonX shaves all of PersonX's hair off,trn,barely,single_word
PersonX barely buys a suit,PersonX buys a suit,trn,barely,single_word
PersonX barely jumps down PersonY's throat,PersonX jumps down PersonY's throat,trn,barely,single_word
PersonX barely decides to retire,PersonX decides to retire,trn,barely,single_word
PersonX barely speaks english,PersonX speaks english,trn,barely,single_word
PersonX barely helps the man,PersonX helps the man,trn,barely,single_word
PersonX barely writes PersonY up,PersonX writes PersonY up,trn,barely,single_word
PersonX barely helps other people,PersonX helps other people,trn,barely,single_word
PersonX barely keeps PersonY company,PersonX keeps PersonY company,trn,barely,single_word
PersonX barely helps PersonY's team,PersonX helps PersonY's team,trn,barely,single_word
PersonX is barely having a yard sale,PersonX is having a yard sale,trn,barely,single_word
PersonX is barely outside playing,PersonX is outside playing,trn,barely,single_word
PersonX is barely feeling depressed lately,PersonX is feeling depressed lately,trn,barely,single_word
PersonX is barely driving to work,PersonX is driving to work,trn,barely,single_word
PersonX is barely eating at a restaurant,PersonX is eating at a restaurant,trn,barely,single_word
PersonX is barely in a car accident,PersonX is in a car accident,trn,barely,single_word
PersonX is barely playing poker,PersonX is playing poker,trn,barely,single_word
PersonX is barely hanging out with friends,PersonX is hanging out with friends,trn,barely,single_word
PersonX is barely camping with PersonX's friends,PersonX is camping with PersonX's friends,trn,barely,single_word
PersonX is barely invited to a party,PersonX is invited to a party,trn,barely,single_word
PersonX is barely riding PersonY's bike,PersonX is riding PersonY's bike,trn,barely,single_word
PersonX is barely playing basketball with PersonY's friends,PersonX is playing basketball with PersonY's friends,trn,barely,single_word
PersonX is barely cheating on PersonY,PersonX is cheating on PersonY,trn,barely,single_word
PersonX is barely dating for a year,PersonX is dating for a year,trn,barely,single_word
PersonX is barely a new mother,PersonX is a new mother,trn,barely,single_word
PersonX is barely on vacation at the beach,PersonX is on vacation at the beach,trn,barely,single_word
PersonX is barely proud of PersonY's work,PersonX is proud of PersonY's work,trn,barely,single_word
PersonX is barely scared of PersonY,PersonX is scared of PersonY,trn,barely,single_word
PersonX is barely running for president,PersonX is running for president,trn,barely,single_word
PersonX is barely late for class,PersonX is late for class,trn,barely,single_word
PersonX is barely proud of PersonY,PersonX is proud of PersonY,trn,barely,single_word
PersonX is barely playing football with PersonX's friends,PersonX is playing football with PersonX's friends,trn,barely,single_word
PersonX is barely cleaning PersonY's house,PersonX is cleaning PersonY's house,trn,barely,single_word
PersonX is barely proud of PersonY's accomplishment,PersonX is proud of PersonY's accomplishment,trn,barely,single_word
PersonX is barely buying groceries,PersonX is buying groceries,trn,barely,single_word
PersonX is barely playing a game,PersonX is playing a game,trn,barely,single_word
PersonX is barely kind to PersonY,PersonX is kind to PersonY,trn,barely,single_word
PersonX is barely ever visiting PersonY,PersonX is visiting PersonY,trn,barely ever,multi_word
PersonX barely ever visits PersonY's grandmother,PersonX visits PersonY's grandmother,trn,barely ever,multi_word
PersonX barely ever wants a divorce,PersonX wants a divorce,trn,barely ever,multi_word
PersonX barely ever bakes cookies for PersonY,PersonX bakes cookies for PersonY,trn,barely ever,multi_word
PersonX barely ever represents PersonY attempt,PersonX represents PersonY attempt,trn,barely ever,multi_word
PersonX barely ever manages to win,PersonX manages to win,trn,barely ever,multi_word
PersonX barely ever calls PersonY's boyfriend,PersonX calls PersonY's boyfriend,trn,barely ever,multi_word
PersonX barely ever succeeds PersonY's father,PersonX succeeds PersonY's father,trn,barely ever,multi_word
PersonX barely ever shoots a deer,PersonX shoots a deer,trn,barely ever,multi_word
PersonX barely ever pleases PersonY much,PersonX pleases PersonY much,trn,barely ever,multi_word
PersonX barely ever gives PersonY satisfaction,PersonX gives PersonY satisfaction,trn,barely ever,multi_word
PersonX barely ever surprises PersonX's boyfriend,PersonX surprises PersonX's boyfriend,trn,barely ever,multi_word
PersonX barely ever prepares for PersonY's reception,PersonX prepares for PersonY's reception,trn,barely ever,multi_word
PersonX barely ever screams with joy,PersonX screams with joy,trn,barely ever,multi_word
