event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX loses PersonX's shoes,tst,"[""forgetful"", ""careless"", ""clumsy"", ""unshod"", ""Panicky"", ""Crazy""]","[""frowns"", ""sighs"", ""gets worried"", ""starts moving his head around, looking"", ""signs in frustration"", ""gets gifted new shoes""]","[""none"", ""gets his feet dirty"", ""loses a pair of shoes""]",,,"[""to find that"", ""to buy new one"", ""to find the shoes"", ""to buy new shoes"", ""buy new ones"", ""go to store"", ""to run""]","[""none""]",,"[""none"", ""to buy shoes"", ""to wear the shoes""]",PersonX finds PersonX's shoes
PersonX is bored to tears,tst,"[""not amused"", ""looking for more entertainment"", ""tired"", ""weary""]","[""cries"", ""pouts"", ""becomes restless"", ""paces back and forth""]","[""none""]",,,"[""find something interesting to do"", ""do something fun"", ""to watch a movie"", ""to go out for a walk""]","[""none""]",,"[""none""]",PersonX has an amazing time
PersonX sells a computer.,tst,"[""successful"", ""hard working"", ""dedicated"", ""talented""]","[""they bank the money"", ""the buy another"", ""gets money"", ""doesn't have anything to play games""]","[""none""]","[""happy"", ""proud"", ""satisfied"", ""blessed"", ""wealthier"", ""privileged"", ""wealthier"", ""privileged""]","[""happy"", ""grateful"", ""none"", ""ripped-off"", ""used"", ""ripped-off"", ""used""]","[""spend some of the money"", ""save some the money"", ""to go to the store"", ""to spend the money on groceries"", ""buy a new computer"", ""save the money"", ""to find proper way to sell the computer"", ""to see good seller"", ""buys another one"", ""eats the money"", ""to get the money"", ""to get new one""]","[""turn on the computer"", ""update the computer"", ""use the computer"", ""to take computer home"", ""to set their new computer up"", ""show off their new computer"", ""none""]","[""get money"", ""get rid of something they can't use"", ""to get rid of it"", ""to make money"", ""to gain money"", ""to get rid of the old device"", ""to gain money"", ""to get rid of the old device""]","[""research how much to sell it"", ""find a place/platform to sell it"", ""find a buyer"", ""to purchase a computer"", ""to put computer up for sale"", ""Advertise the computer"", ""Clean the computer"", ""want money"", ""to think about sell computer"", ""none""]",PersonX buys a computer
PersonX takes a plane,tst,"[""flying"", ""mobile"", ""motivated"", ""adventurous""]","[""gets to a destination"", ""gets sick"", ""arrives at a destination"", ""is served lunch""]","[""none""]",,,"[""to explore a destination"", ""to buy a return ticket"", ""to puke from the altitude"", ""to get off the plane""]","[""none""]",,"[""to book a ticket"", ""to go to the airport"", ""to book a trip"", ""to not have a car""]",PersonX takes a cruise
PersonX holds PersonY's head up straight.,tst,"[""helpful"", ""dedicated"", ""concerned"", ""caring""]","[""Pushed away by personY"", ""Gets a restraining order against them"", ""looked at"", ""talked to""]","[""none"", ""frowns"", ""cries""]",,,"[""very sad"", ""feel depression"", ""to laugh"", ""to let go""]","[""none"", ""to be left alone"", ""to put their head down""]",,"[""none"", ""to grab Y"", ""to life their head up""]",PersonX tips PersonY's head
PersonX starts school,tst,"[""studious"", ""academic"", ""scared"", ""nervous""]","[""gains new knowledge"", ""gets talked to by other students"", ""gets a kiss goodbye"", ""gets waved at""]","[""none"", ""cries"", ""is alone during the day""]",,,"[""to learn new skills"", ""to get a degree"", ""study"", ""learn""]","[""none""]",,"[""none"", ""sign up for school"", ""get supplies""]",PersonX misses school
PersonX plays PersonX's least favorite songs,tst,"[""Rude"", ""Inconsiderate"", ""unhappy"", ""bored""]","[""none"", ""boredom arises"", ""ears start to hurt""]","[""avoids personx"", ""turns off"", ""none""]",,,"[""to change the channel"", ""to pick new songs""]","[""none""]",,"[""none"", ""to get the playlist ready"", ""to put in the CD""]",PersonX plays PersonX's favorite songs
PersonX is still alive.,tst,"[""vivid"", ""vibrant"", ""breathing"", ""hurting""]","[""sighs in relief"", ""is hugged by family members"", ""they get anew lease on life"", ""they get love from family""]","[""none""]","[""content"", ""happy to be alive"", ""worried"", ""upset"", ""proud"", ""grateful""]","[""grateful"", ""thankful"", ""mad"", ""none""]","[""continue to live"", ""acknowledge everything they have to be grateful for on a daily basis"", ""live each day to the fullest"", ""go on about their usual daily activities/life"", ""to help the poor people"", ""to take rest"", ""to do work"", ""enjoy the life""]","[""none"", ""to pray"", ""to thank him""]","[""none"", ""to fight another day"", ""to be proud of themselves""]","[""not die"", ""continue breathing"", ""to work hard"", ""to stay with his family"", ""none""]",PersonX draws PersonX's last breath
PersonX is confident and bored,tst,"[""focused"", ""present"", ""uneasy"", ""silent""]","[""falls asleep"", ""takes a nap"", ""Person X falls asleep"", ""Person X exudes an unappealing attitude"", ""Person X walks tall and straight""]","[""none""]",,,"[""to learn a new thing"", ""to go online"", ""to do something exciting"", ""to call their friends""]","[""none"", ""to do something exciting too"", ""to think of some fun things to do""]",,"[""none""]",PersonX is excited and nervous
PersonX leaves PersonY,tst,"[""disloyal"", ""done with the drama"", ""relieved"", ""pleased""]","[""gets served divorce papers"", ""is yelled at"", ""tries to compensate"", ""puts on a frown""]","[""none""]","[""deserted"", ""solo"", ""guilty"", ""relieved"", ""sad"", ""conflicted"", ""Guilty for hurting someone's feelings"", ""Relieved to be finished""]","[""lonely"", ""abondoned"", ""sad"", ""confused"", ""hurt"", ""betrayed"", ""Sad to have been left"", ""Angry at PersonX for leaving""]","[""to go back home"", ""to buy pizza"", ""to eat"", ""to sleep"", ""to go home"", ""to talk to someone else""]","[""none"", ""text them later"", ""to go home""]","[""fed up9"", ""to be alone"", ""to go somewhere else"", ""to get away from PersonY"", ""To see other people"", ""Be alone for a while""]","[""to call person y"", ""to pick up person y"", ""to go out with person y"", ""to go with them"", ""to talk to them""]",PersonX acts upon PersonY
PersonX loves to clean.,tst,"[""smart"", ""frugal"", ""industrious"", ""hard-working""]","[""starts to get supplies"", ""gets a mop"", ""is complimented"", ""has a clean house""]","[""none""]",,,"[""to apply for a cleaning job"", ""to buy a new vacuum"", ""relax after"", ""keep it spotless""]","[""none""]",,"[""none""]",PersonX loves to garden
PersonX breaks doors,tst,"[""raging"", ""violent"", ""VIOLENT"", ""STRONG""]","[""tired"", ""sore shoulder"", ""Caught by police"", ""Arrested for destruction of property"", ""Thrown in jail""]","[""none""]",,,"[""to get out"", ""to fix the barn"", ""find a new door"", ""enter the room""]","[""none""]",,"[""none"", ""to find a door"", ""to know they can break a door""]",PersonX opens doors
PersonX cuts Persony's hair.,tst,"[""considerate"", ""caring"", ""helpful"", ""pracitcal"", ""skilled""]","[""thanked"", ""paid"", ""is made fun of"", ""has uneven hair""]","[""smiles"", ""talked to"", ""none""]","[""Proud"", ""Helpful"", ""happy"", ""surprised"", ""excitment"", ""Happy to help Y"", ""Satisfied they did a good job""]","[""Confident"", ""Attractive"", ""nervous"", ""shocked"", ""angry"", ""Happy that they have their hair cut"", ""Grateful for the service""]","[""to please PersonY"", ""to be compensated by PersonY"", ""to make it looks beautiful"", ""to wash person y's hair"", ""get a compliment"", ""go get a shave""]","[""to thank PersonX"", ""to pay PersonX for their service"", ""none"", ""get furious"", ""hit person x""]","[""To do their job"", ""To help"", ""none"", ""Wants to provide a service"", ""Y has requested X to cut their hair"", ""Wants to provide a service""]","[""to have a license to cut hair"", ""to have scissors"", ""to measure the length of the hair"", ""to take scissors"", ""none""]",PersonX dyes PersonY's hair pink
PersonX is short.,tst,"[""inferior"", ""unwelcome"", ""sad"", ""depressed""]","[""none""]","[""none""]",,,"[""to keep growing"", ""to be accepted as they are"", ""to grow tall"", ""to be peaceful""]","[""none""]",,"[""none""]",PersonX is a long drive
PersonX chooses none,tst,"[""picky"", ""finicky"", ""hard headed"", ""stubborn""]","[""Told to make a decision"", ""Teased by friends for being indecisive"", ""gets none"", ""goes hungry""]","[""none""]","[""hungry"", ""glad that they resisted temptation"", ""empty"", ""unhelped"", ""in charge"", ""powerful"", ""like everything is still neutral"", ""like nothing happened""]","[""none""]","[""to buy nothing"", ""to find another shop"", ""nothing"", ""theres nothing to do"", ""he had no option"", ""want to no one""]","[""none""]","[""not to have anything"", ""to be seen as sharing"", ""to go without"", ""to stick to their diet"", ""to be indecisive"", ""to please nobody"", ""to not choose anything"", ""to remain neutral""]","[""to go to the shop"", ""to choose a thing"", ""none""]",PersonX chooses one
PersonX hates PersonY with all of PersonX's heart,tst,"[""brutish"", ""nasty"", ""envious"", ""bitter""]","[""cringes when person x sees person y"", ""heart races"", ""person x avoid person y"", ""person x don't call person y""]","[""none"", ""stay lonely"", ""eat food""]",,,"[""to cut ties"", ""to yell at them"", ""to attack personY"", ""to avoid personY""]","[""to plan a mean prank"", ""to laugh at them in front of people"", ""to know why PersonX hates them"", ""to resolve the hatred""]",,"[""to see PersonY in action"", ""to compare PersonY to good people"", ""To have a reason for hating personY"", ""to get hurt by PersonY""]",PersonX loves PersonY with all my heart
PersonX returns the book.,tst,"[""responsible"", ""studious"", ""eager for another""]","[""gets a fine"", ""is given another book"", ""gets thanked"", ""no effect""]","[""none""]",,,"[""borrow another book"", ""tell someone about the book"", ""to purchase another book"", ""to add more fun""]","[""none""]",,"[""borrow a book"", ""finish the book"", ""none""]",PersonX gets a book
PersonX keeps a secret.,tst,"[""private"", ""secretive"", ""trustworthy"", ""reserved""]","[""keeps quiet"", ""doesn't say"", ""none""]","[""none""]",,,"[""Keep it"", ""Stay quiet"", ""to go about daily routine"", ""to avoid talking to others""]","[""none""]",,"[""none""]",PersonX tells PersonY's friend
PersonX lets PersonY stay the same,tst,"[""considerate"", ""thoughtful"", ""lenient"", ""enabling""]","[""Thanked by personY"", ""Called a good friend"", ""is thanked by person y for letting them be theirselves"", ""gains oppurtunity for friendship with perosn y""]","[""none""]",,,"[""to throw PersonY out"", ""to find new friends"", ""to accept them as they are"", ""to be loving""]","[""to call their mother"", ""to ask a counselor for advice"", ""to bond with personx"", ""to be closer to personx""]",,"[""none""]",PersonX makes PersonY change
PersonX listens to a speech,tst,"[""interested"", ""deliberate"", ""thoughtful"", ""smart"", ""curious"", ""eager to hear the speech"", ""attentive"", ""aware""]","[""earing"", ""learn more"", ""open the ear"", ""feel comfortable"", ""take notes of that speech"", ""tell to others"", ""learns something"", ""shows passion for studies""]","[""none""]",,,"[""to be more honor"", ""to give speech"", ""to get out"", ""to take some air"", ""to participate the contest"", ""to sing a song"", ""talk about the speech"", ""go home""]","[""none""]",,"[""none"", ""to get a ticket"", ""to be seated"", ""to watch the television"", ""to avoid Jung foods"", ""go to a speech"", ""find a seat""]",PersonX makes a speech
PersonX hates people.,tst,"[""spiteful"", ""closed minded"", ""mean"", ""rude""]","[""becomes a hermit"", ""has trouble making friends"", ""none""]","[""none""]",,,"[""To Avoid being sociable"", ""To Start going to therapy"", ""to believe people"", ""to work hard""]","[""none""]",,"[""none"", ""to worry a lot"", ""to be hungry""]",PersonX invites people
PersonX helps them self at home,tst,"[""self sufficient"", ""independent"", ""staying home""]","[""none"", ""enjoys it"", ""has fun""]","[""none""]",,,"[""to have good rest"", ""to eat"", ""clean his/her come"", ""Take a break""]","[""none""]",,"[""to get things"", ""to buy cleaning supplies"", ""none""]",PersonX goes to the doctor for help
PersonX makes PersonY stagnate.,tst,"[""influencing"", ""uninspiring"", ""mean"", ""angry"", ""uncaring""]","[""gets told to go away"", ""gets in an argument"", ""they are left alone"", ""they are seen as lazy""]","[""gets in a fight"", ""is yelled at"", ""y loses some opportunites"", ""y is called lazy""]","[""a sense of control over PersonY"", ""superior to PersonY"", ""dominate"", ""in command"", ""superior"", ""powerful by controlling another"", ""dominant"", ""safe from change or being questioned""]","[""belittled"", ""dominated"", ""controlled"", ""oppressed"", ""inferior"", ""discouraged"", ""bored"", ""unfulfilled"", ""resentful"", ""frustrated by imposed limitations""]","[""to  say sorry"", ""to make comfortable"", ""to be feel happy"", ""to go shopping"", ""to apologize"", ""to avoid personY""]","[""none"", ""to get therapy"", ""avoid personX""]","[""to prevent PersonY from growing"", ""PersonY to stay where they are"", ""to stunt PersonY's potential"", ""to control PersonY"", ""to feel powerful"", ""to start trouble"", ""to control Person Y"", ""to maintain the status quo"", ""to quell debate or competition""]","[""none"", ""to bother PersonY"", ""to shock personY""]",PersonX changes PersonY's lives
PersonX hits PersonX's mom,tst,"[""agrressive"", ""violent"", ""impolite"", ""injurious""]","[""Scolded by mother"", ""Kicked out of house"", ""gets yelled at"", ""gets hit in return""]","[""none""]",,,"[""to be safe"", ""to be alone"", ""to say sorry to mom for accidentally hitting them"", ""to make sure their mom is ok""]","[""none""]",,"[""none""]",PersonX hits PersonX's friend
PersonX sits straight up in PersonY's seat.,tst,"[""aware"", ""attentive"", ""selfish"", ""rude"", ""uncaring"", ""greedy""]","[""to face y reaction"", ""take a conversation with y"", ""Told to get out of the seat"", ""Forced out of the seat by personY""]","[""none""]",,,"[""to be more alert"", ""to have better posture"", ""unconformable"", ""sad, relax""]","[""PersonX out of their seat"", ""to sit down where they belong"", ""none""]",,"[""to have sat in PersonY's seat"", ""to have slouched"", ""none""]",PersonX leans back in PersonY's seat
Person X ignores Person Y in the office.,tst,"[""oblivious"", ""unmindful"", ""avoidant"", ""aloof""]","[""apologizes"", ""pays attention to PersonY eventually"", ""may continues his work"", ""hate him much""]","[""wonders why they're being ignored"", ""asks PersonX why they're ignoring them"", ""none""]",,,"[""be alone"", ""make a face"", ""to avoid PersonY"", ""to look down on PersonY""]","[""to talk to x"", ""ask why"", ""to repeat theirself"", ""to be heard""]",,"[""walk past Y"", ""not talk to Y"", ""to go to the office"", ""to drive to work""]",PersonX sees PersonY in PersonX's office
PersonX withholds tax money.,tst,"[""an employer"", ""tax collector"", ""frugal"", ""fiscally responsible""]","[""they pay their taxes"", ""they have a lower tax bill"", ""gets arrested"", ""gets a call from IRS""]","[""none""]",,,"[""to go on a vacation"", ""to buy a new house"", ""to hide their taxes"", ""to pay their taxes""]","[""none""]",,"[""to figure out their actual liability"", ""to assess the risk of getting caught"", ""none""]",PersonX pays taxes
PersonX keeps going,tst,"[""determined"", ""refusing to give up"", ""insistent""]","[""things get a little better"", ""PersonX finds a good job"", ""sweats"", ""falls down""]","[""none""]",,,"[""to rest"", ""to go to sleep"", ""to finish the race"", ""to win the race""]","[""none""]",,"[""to start doing something"", ""to get up"", ""to be running in a race"", ""to have endurance""]",PersonX wipes the slate clean
PersonX is unhurt,tst,"[""grateful"", ""content"", ""injury-free"", ""unscathed"", ""healthy""]","[""none""]","[""none""]",,,"[""to feel happy"", ""to get well"", ""to be calm"", ""to be alone""]","[""none""]",,"[""none""]",PersonX hurts like hell
PersonY introduces himself,tst,"[""outgoing"", ""amiabale"", ""friendly"", ""caring""]","[""hand is shook"", ""receives compliments"", ""gets everyone's attention"", ""gets smiled at""]","[""none""]",,,"[""to be social"", ""to be friendly"", ""to talk to them""]","[""none"", ""to introduce themselves""]",,"[""none"", ""meet someone""]",PersonX provides PersonY introduction
PersonX mouths off.,tst,"[""talkative"", ""impulsive"", ""brash"", ""rude""]","[""problem on mouth"", ""goes to hospital for health issues"", ""breathes heavier"", ""mind races""]","[""none""]",,,"[""do the job well"", ""maintain a good job"", ""apologize for their behavior"", ""walk away""]","[""none"", ""to get an apology"", ""to walk away from PersonX""]",,"[""plan for off the mouth"", ""get the stuff ready"", ""none""]",PersonX saves PersonX's breath
PersonX is a gossip.,tst,"[""chatty"", ""disloyal"", ""rude"", ""mean""]","[""Caught by professor"", ""Given detention"", ""gossips alot"", ""talks about everyone""]","[""none""]",,,"[""to spill the beans"", ""to tell everyone"", ""to stir trouble"", ""to harm others""]","[""none""]",,"[""none""]",PersonX tries to keep it a secret
PersonX is oblivious to the cupboard's contents.,tst,"[""blind"", ""stupid"", ""unobservant"", ""aloof""]","[""forgets something"", ""gets a surprise"", ""X runs out of food"", ""X's pets go hungry"", ""X loses weight""]","[""none""]",,,"[""to go food shopping"", ""to ask their spouse to check the shopping list"", ""Examine it"", ""Look more""]","[""none""]",,"[""none""]",PersonX looks in PersonX's cupboard
PersonX forgot to make PersonX arrangements,tst,"[""distracted"", ""irresposible"", ""lightheaded"", ""unconcerned""]","[""person x want to do arrangement"", ""person x have to make arrangement"", ""sighs in frustration"", ""gets called irresponsible""]","[""They blamed person x"", ""They have a bad impression about person x"", ""none""]",,,"[""apologize"", ""make the arrangements"", ""to apologize""]","[""do it themself"", ""find someone else to do it"", ""to find someone else from now on"", ""to do it themselves from now on""]",,"[""have arrangements to make"", ""get distracted"", ""none""]",PersonX makes PersonX's arrangements
PersonX pushes PersonY.,tst,"[""rude"", ""mean"", ""aggressive"", ""combative""]","[""gets knocked down"", ""is arrested"", ""Pushed back by personY"", ""Falls to the ground""]","[""none"", ""Scrapes knee"", ""Sent to hospital""]",,,"[""rescue the person"", ""go away from person's Y"", ""to be more attentive"", ""to ask sorry to PersonY""]","[""none""]",,"[""go and meet person's Y"", ""be close to the person so as to push him"", ""none""]",PersonX pulls PersonY
PersonX gains PersonY's love,tst,"[""loving"", ""trusting"", ""caring"", ""loveable"", ""determined""]","[""becomes proud of themselves"", ""acts friendly"", ""they are kissed"", ""they are proposed to""]","[""none""]",,,"[""to tell persony about his/her feelings"", ""to be sincere"", ""to propose to PersonY"", ""to make a family with PersonY""]","[""to express him/herself"", ""to grab personx hand"", ""to marry PersonX"", ""to show PersonX love back""]",,"[""to do something good for persony"", ""to be interested in persony"", ""to court PersonY"", ""to woo PersonY""]",PersonX gains PersonY's confidence
PersonX sat up straight in PersonX's chair,tst,"[""active"", ""alert"", ""reserved""]","[""none"", ""gets more comfortable/hurts less from sitting wrong in chair"", ""doesn't get scolded by teacher for sitting wrong""]","[""none""]",,,"[""to be relax"", ""to rest"", ""to take a nap"", ""focus on the computer work on the desk""]","[""none""]",,"[""none"", ""find a chair to sit in"", ""to want to get off their feet""]",PersonX leaned back in PersonX's chair
PersonX catches PersonX's hat from the ring.,tst,"[""observnt"", ""watching carefully"", ""adroit"", ""talented""]","[""smiles"", ""gets everyone's attention"", ""they sweat a great deal"", ""their heart beats faster""]","[""none""]",,,"[""to cheer"", ""to put the hat on"", ""be honesty"", ""feel nervous ,depression""]","[""none""]",,"[""throw their hat"", ""see the hat"", ""reach out into ring"", ""none""]",PersonX throws PersonX's hat in the ring
PersonX is sitting on the beach.,tst,"[""content"", ""relaxed"", ""restful"", ""settled""]","[""Falls asleep on the beach"", ""Becomes very sunburnt"", ""has a bird land on him"", ""is greeted by joggers""]","[""none""]",,,"[""lets enjoy at the beach"", ""go to the home"", ""put on aloe vera"", ""take a shower"", ""to build a sand castle"", ""to run into the water"", ""go swimming"", ""pack up""]","[""none""]",,"[""Plan for going to the beach"", ""getting ready"", ""go to the beach"", ""learn how to get to the beach"", ""none"", ""sit down at the beach""]",PersonX is walking along the beach
PersonX has a quiet night alone.,tst,"[""contented"", ""relaxed"", ""satisfied"", ""calm"", ""at ease"", ""at peace""]","[""gets sleepy"", ""closes eyes"", ""Begged to come out with friends"", ""Invited to a party""]","[""none""]",,,"[""to be scared"", ""to have companion"", ""to get some munchies to eat"", ""to find a good movie to watch"", ""to relax the whole night""]","[""none"", ""to see PersonX take some time for themselves"", ""to tell PersonX to have fun""]",,"[""to stay alone"", ""to work on night shift"", ""to tell everyone what he's doing"", ""to turn turn off the phone""]",PersonX hosts a party
PersonX leaves PersonY's course alone,tst,"[""thoughtful"", ""cautious"", ""scared"", ""worried""]","[""none"", ""Scolded by personY"", ""Told to be a better student""]","[""none""]","[""content"", ""relief"", ""like personY won't be distracted"", ""like personY will get things done"", ""respectful"", ""curious""]","[""relief"", ""content"", ""determined"", ""focused"", ""trust""]","[""to join them"", ""learn together"", ""to find their own course"", ""to work on their own course"", ""choose better course"", ""and study well""]","[""none""]","[""to not meddle"", ""to let Person Y do it themselves"", ""them to keep doing what they are doing"", ""for them to not be bothered"", ""to respect persony"", ""to be independent""]","[""none""]",PersonX alters PersonY's course
PersonX becomes best friends with PersonY,tst,"[""friendly"", ""interesting"", ""outgoing"", ""likable""]","[""they get drunk with persony"", ""persony bonds with them"", ""they get phone calls and texts from Y"", ""They are visited by Y""]","[""none"", ""x calls on them at home"", ""x asks them about their day""]",,,"[""to get well""]","[""none""]",,"[""none"", ""to get well""]",PersonX stops being friends with PersonY
PersonX is king of the world,tst,"[""talented"", ""sucessful"", ""powerful"", ""almighty""]","[""grins"", ""puffs chest"", ""energy rises"", ""buy everything"", ""they do good for others""]","[""none""]","[""proud"", ""powerful"", ""Arrogant"", ""Hubristic"", ""HAPPY"", ""RESPONSIBLE""]","[""nervous"", ""grateful"", ""none""]","[""make policy decisions"", ""end all wars"", ""to help the needy"", ""to give his money to others"", ""rein his kingdom nobly"", ""clear people problems""]","[""pay respects to X"", ""get X's autograph"", ""to praise him"", ""to adore him"", ""make sure the healthy of people"", ""let them freedom""]","[""to be in charge"", ""to push out social change"", ""recognition"", ""fame"", ""TO RULE THE WORLD""]","[""win other's trust"", ""show leadership competency"", ""to be god"", ""to be a universal boss"", ""none""]",PersonX does n't have many friends
PersonX has a bad time on vacation,tst,"[""upset"", ""ripped"", ""bored"", ""angry"", ""mad""]","[""becomes more stressed from being able to unwind"", ""performs worse at work"", ""reconsiders their actions"", ""feels like a failure""]","[""none""]",,,"[""to be alone"", ""to be stay home"", ""to be sad"", ""to hate the life""]","[""none""]",,"[""none"", ""to plan for a vacation"", ""to get tickets""]",PersonX has a wonderful trip
PersonX scatters everything apart,tst,"[""messy"", ""sloppy"", ""unthoughtful"", ""unorganized""]","[""gets scolded"", ""trips and falls"", ""makes a mess"", ""has an outburst""]","[""none""]",,,"[""to show them he is mad"", ""to express their feelings"", ""fix what they broke"", ""talk to a therapist""]","[""none""]",,"[""none"", ""have a lot of things"", ""be angry""]",PersonX gets everything together
PersonY grinds PersonX for a week,tst,"[""motivating"", ""eager to help personx"", ""cruel"", ""murderous""]","[""none"", ""is forced to talk"", ""gets exhausted""]","[""becomes angry at person x for making them work too hard"", ""sweats from the heat outside"", ""gets the answer they want"", ""is lied to""]",,,"[""get away from personY"", ""do a good job"", ""to tell PersonY to back off"", ""to listen"", ""to admit something""]","[""none"", ""to give up"", ""to continue harrassing PersonX""]",,"[""none""]",PersonX grinds PersonY for a week
PersonX misses practice,tst,"[""lazy"", ""disappointing"", ""careless"", ""apathetic""]","[""cut from team"", ""reprimanded"", ""kicked off the team"", ""loses position""]","[""none""]",,,"[""join a new team"", ""tryout for different team"", ""to be on time"", ""to drive a bike""]","[""none""]",,"[""none""]",PersonX practices hard
personx has to go to a new job,tst,"[""dedicated"", ""smart"", ""employed"", ""busy""]","[""find the company"", ""walk into the office"", ""they are shown around"", ""they meet their coworkers""]","[""none""]",,,"[""to get ready"", ""to look good"", ""to impress the boss at their new job"", ""the first day of work at their new job to go smoothly""]","[""none""]",,"[""none""]",PersonX has to go to a new school
PersonX destroys it for PersonY.,tst,"[""destructive"", ""aggressive"", ""rude"", ""mean""]","[""Scolded by personY"", ""Loses a close friend in personY"", ""yelled at"", ""argued with""]","[""none"", ""cries"", ""argued with""]",,,"[""destroy more things"", ""clean up the mess"", ""to hate him"", ""to give it back""]","[""thank personX"", ""get rid of more"", ""none""]",,"[""get it from personY"", ""decide how to destroy it"", ""none""]",PersonX fixes it for PersonY
